"Weekly deaths by sex and age group, 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-4,29,0,2,0,0,0,2,0,1,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,2,0,0,0,0,2,1,1,1,0,0,0,1,0,2,0,0,2,0,0
,5-9,21,0,1,0,1,1,0,1,2,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
,10-14,23,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,3,1,0,1,1,1,0,0,0,0,0,0,3,0,1,1,0,1,0,0,1,0
,15-19,108,3,4,3,1,2,2,2,0,0,1,0,5,2,3,1,1,4,2,3,1,2,2,3,0,0,0,1,0,2,2,1,2,5,2,1,0,2,7,1,4,3,4,5,1,2,3,0,0,1,4,2,5,1
,20-24,186,5,2,4,4,4,3,1,3,2,3,7,1,2,6,3,3,5,5,7,1,3,2,2,3,3,1,8,0,3,3,4,2,8,1,5,6,5,6,1,5,2,4,2,4,3,3,4,2,3,7,2,5,3
,25-29,189,0,5,2,7,3,4,3,4,6,0,2,7,5,0,5,7,3,3,5,3,3,1,3,2,3,6,5,3,4,1,4,7,5,5,2,1,4,3,2,4,5,3,3,3,5,5,1,4,7,1,1,2,7
,30-34,268,8,7,5,4,5,5,8,1,4,3,4,5,5,6,6,9,6,5,4,6,6,5,3,5,8,1,4,2,6,4,6,3,5,7,4,4,4,4,2,4,7,6,6,2,11,5,2,8,1,4,7,12,4
,35-39,402,9,12,6,4,10,9,7,8,8,10,7,6,6,7,7,8,9,6,8,5,10,6,12,8,6,11,10,6,7,5,7,8,12,6,15,10,5,8,6,9,8,6,4,4,6,8,12,4,7,6,7,5,6
,40-44,507,11,16,12,18,12,5,14,6,8,9,10,11,4,5,5,13,11,14,8,8,10,15,11,10,7,4,9,9,9,6,10,11,12,6,7,8,10,10,10,9,12,7,9,10,10,11,11,7,6,10,8,17,6
,45-49,717,8,20,9,9,14,15,9,11,9,16,24,14,7,14,21,10,18,14,8,14,20,18,13,10,12,6,18,10,17,6,4,9,17,14,13,20,14,16,11,9,13,14,20,18,14,15,15,12,13,19,13,21,9
,50-54,974,7,29,25,6,22,17,19,20,27,20,16,22,15,18,19,19,25,14,14,22,21,13,25,20,18,17,18,16,19,14,18,26,22,13,21,24,20,18,22,19,17,27,13,10,15,24,20,13,12,17,21,12,13
,55-59,1540,28,48,32,37,28,19,29,29,30,36,27,45,36,25,29,28,27,26,27,23,21,22,22,28,25,31,20,29,30,32,29,30,29,23,29,36,27,22,32,31,26,30,35,28,34,32,26,32,23,22,33,36,26
,60-64,2160,44,74,47,46,21,42,46,41,36,44,35,44,40,36,33,45,40,35,36,44,36,26,41,40,54,42,37,43,27,36,42,36,38,49,30,36,52,37,39,41,49,39,39,41,51,46,47,45,46,33,44,30,39
,65-69,2834,60,82,68,63,48,61,45,57,60,52,52,56,40,44,46,62,56,53,47,49,55,62,66,56,35,63,52,57,56,42,40,49,44,70,42,51,64,60,48,57,52,47,52,43,44,52,49,52,59,51,60,54,49
,70-74,3822,89,130,114,91,78,80,62,74,82,58,60,73,83,68,74,75,77,66,73,65,68,66,71,60,60,71,89,76,63,56,59,74,68,84,75,67,52,70,52,75,61,71,62,69,59,54,64,70,69,85,58,75,97
,75-79,4408,95,108,88,103,91,99,78,88,82,79,84,79,87,84,74,73,93,80,87,85,83,82,84,69,79,79,74,70,67,76,74,81,83,81,66,75,84,72,88,85,80,72,88,86,86,70,87,90,85,91,82,95,107
,80-84,4521,109,132,93,91,82,87,73,95,71,88,99,90,74,104,79,97,73,87,87,99,71,67,96,95,96,88,86,65,64,90,68,67,79,73,69,79,87,74,73,67,84,82,74,100,87,79,87,89,93,92,101,90,99
,85-89,2657,61,84,62,42,64,75,56,59,43,57,49,55,57,64,50,53,58,44,41,46,54,49,46,54,35,37,43,31,58,37,42,41,48,34,37,52,38,39,49,45,51,52,49,39,44,53,66,44,47,59,53,52,59
,90+,1818,43,69,52,49,27,46,37,33,46,34,46,41,29,37,36,30,34,30,24,31,26,29,30,26,27,17,29,36,29,21,31,31,28,30,34,34,35,38,31,35,30,30,26,32,33,34,37,40,40,34,33,38,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
