"Weekly deaths by sex and age group, 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,108,2,0,3,2,1,3,0,2,0,2,5,1,0,3,2,4,3,4,1,1,3,2,4,1,0,1,3,2,1,4,4,1,2,3,3,2,2,3,2,2,2,1,2,2,2,0,0,3,2,4,2,1,3
,1-4,19,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0
,5-9,15,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0
,10-14,22,0,2,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
,15-19,53,1,0,0,1,2,3,0,1,0,1,1,1,4,0,2,1,0,2,0,0,1,3,0,0,2,0,2,0,0,1,2,1,2,0,1,1,2,2,2,3,1,0,0,1,0,0,0,0,0,3,0,2,1
,20-24,63,1,3,1,1,1,2,1,0,1,1,1,2,1,1,2,0,1,3,1,1,0,0,0,4,1,1,0,0,1,0,2,1,0,2,3,0,3,2,1,3,1,2,1,0,2,0,1,1,1,0,1,3,1
,25-29,63,0,4,2,0,1,1,0,1,2,1,2,1,3,2,2,2,0,1,1,1,0,3,1,0,2,0,0,2,2,0,0,0,1,1,1,0,1,3,1,2,1,1,2,2,1,2,0,0,4,1,0,1,1
,30-34,117,2,0,1,2,2,4,1,1,2,4,2,4,3,4,1,2,0,0,3,4,1,3,3,0,3,3,3,1,5,1,3,0,3,5,2,0,3,1,4,1,3,1,3,3,1,0,3,5,2,1,4,0,4
,35-39,211,3,10,1,4,3,2,2,4,4,5,4,4,9,5,6,4,2,3,6,2,4,8,2,6,3,7,4,3,3,1,1,0,7,3,1,7,5,1,4,3,4,7,6,1,1,3,7,8,3,5,4,5,1
,40-44,288,4,2,5,10,5,5,7,5,4,8,6,5,8,3,3,8,6,8,5,7,5,5,2,8,2,1,7,6,7,3,9,8,6,6,2,5,3,4,8,9,4,8,2,7,5,5,9,3,6,7,3,5,4
,45-49,445,3,16,9,11,14,9,9,11,3,13,12,8,16,6,8,5,7,6,7,13,9,1,11,12,8,9,6,5,9,6,9,5,7,8,6,6,10,11,8,11,5,5,10,4,3,7,13,16,6,3,11,10,9
,50-54,634,13,28,12,15,8,11,13,11,14,10,11,10,10,11,11,9,11,13,8,12,14,20,9,12,10,11,8,13,8,13,11,10,15,11,19,21,5,10,5,19,11,6,13,11,16,12,16,12,9,12,8,12,11
,55-59,1010,22,32,28,17,25,15,23,20,15,16,20,19,24,21,17,27,17,15,18,17,15,17,16,18,19,11,26,23,22,20,19,14,9,15,15,27,17,15,21,14,11,23,24,23,16,15,27,15,23,18,17,23,14
,60-64,1335,33,39,24,30,21,39,34,19,23,18,25,28,21,20,13,32,24,33,27,29,23,23,24,27,21,23,31,26,20,16,23,29,19,19,30,29,14,29,26,24,24,31,18,21,23,24,16,26,25,29,33,21,36
,65-69,2009,48,69,39,36,31,27,43,44,27,44,41,41,43,44,37,37,46,38,36,30,31,46,34,30,26,58,34,40,39,43,46,36,38,27,39,37,36,39,31,34,33,32,31,39,33,29,39,34,36,32,46,45,35
,70-74,3013,56,117,76,71,64,58,63,61,75,56,71,66,56,39,58,64,59,55,58,47,42,47,67,55,59,55,48,54,43,59,48,50,50,44,46,55,54,54,55,48,56,64,64,48,45,56,60,53,49,50,48,58,59
,75-79,4309,87,161,90,83,92,92,81,76,73,84,88,83,88,88,92,81,83,91,66,65,82,75,73,91,83,75,64,81,80,78,78,75,70,64,74,75,69,65,81,87,81,71,87,70,87,92,63,85,94,84,73,73,85
,80-84,5844,150,195,128,148,126,129,119,92,98,105,102,112,93,128,94,121,114,103,113,116,104,103,93,105,105,113,105,98,113,97,82,122,89,107,92,101,96,105,95,87,114,114,101,114,108,126,91,119,129,102,107,103,118
,85-89,4787,101,154,110,132,98,104,108,103,105,97,99,94,99,101,79,92,98,85,80,98,86,68,83,80,69,69,88,76,80,91,72,77,66,78,65,86,84,83,83,84,99,86,86,87,86,81,93,98,89,80,86,100,111
,90+,5704,132,192,150,139,134,130,113,108,112,105,108,120,117,133,106,115,108,95,81,106,74,100,112,98,103,108,89,88,92,93,75,116,78,79,86,98,112,100,91,100,110,105,120,109,103,71,119,95,100,128,121,108,119
male,0,164,4,7,3,3,5,1,3,4,4,2,1,2,5,0,1,3,2,2,3,5,2,6,1,7,3,3,6,1,3,1,1,5,2,1,6,3,1,3,5,6,4,1,2,1,2,7,3,3,3,3,5,1,3
