"Weekly deaths by sex and age group, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40-44,292,11,7,7,7,4,8,5,5,5,4,11,7,6,7,5,2,4,5,7,11,3,7,3,8,2,10,8,4,7,3,4,6,3,1,3,4,3,6,8,6,2,9,8,4,1,8,9,5,9,7,3,0,0
,45-49,452,13,16,8,9,13,7,6,9,7,7,4,10,12,10,12,13,10,15,8,12,7,5,5,6,6,4,12,12,7,8,6,8,4,6,10,7,8,5,10,11,10,7,5,16,13,10,11,3,8,14,6,1,0
,50-54,668,12,17,10,11,15,12,18,19,23,15,15,13,13,16,13,10,16,19,11,17,8,10,7,16,12,9,10,12,13,5,15,12,12,14,7,9,14,11,11,11,10,11,15,9,11,17,13,12,15,13,14,15,0
,55-59,935,16,32,20,22,24,24,19,20,25,14,22,19,20,16,24,23,14,23,16,21,11,19,17,21,19,15,12,13,16,11,13,15,17,10,21,14,17,18,15,25,13,22,13,11,7,20,24,25,22,17,14,14,0
,60-64,1275,21,21,29,25,37,25,22,28,30,24,32,21,28,26,29,24,21,25,21,23,26,25,18,27,20,20,16,22,25,19,21,27,20,19,25,25,25,21,26,26,25,18,25,18,25,32,23,35,22,29,30,28,0
,65-69,1923,54,41,44,39,35,49,44,40,42,43,48,38,46,36,24,28,36,37,42,38,35,30,32,28,36,39,39,36,28,33,26,35,26,28,35,49,38,38,26,38,48,35,27,38,29,34,39,36,36,28,47,47,0
,70-74,2572,62,58,60,43,47,50,55,57,37,57,60,63,42,43,46,46,42,46,50,46,29,45,45,42,57,59,60,43,44,60,48,48,57,44,52,44,47,34,49,54,45,32,57,48,55,60,41,53,60,53,48,49,0
,75-79,3619,87,83,78,73,95,86,81,71,79,87,81,64,60,74,66,94,70,49,68,68,56,61,59,57,55,65,70,75,47,59,73,61,53,54,69,60,69,60,57,81,76,53,78,64,74,72,76,82,70,75,71,73,0
,80-84,4800,114,119,100,100,103,102,102,103,84,98,102,73,108,100,76,97,109,74,89,84,104,92,81,91,99,78,72,67,89,74,87,85,73,93,87,67,76,79,86,85,88,79,95,101,95,108,100,113,95,103,119,102,0
,85-89,5503,154,112,113,116,104,121,117,116,122,112,114,102,112,127,102,111,101,82,93,87,93,97,98,103,91,101,103,102,90,100,99,112,85,95,84,117,82,93,102,88,96,126,77,90,107,109,100,129,114,132,139,131,0
,90+,6337,165,165,148,139,146,145,157,139,130,122,125,120,123,128,114,121,118,120,130,111,113,94,108,96,107,90,110,122,123,116,106,101,115,132,110,110,105,100,108,117,106,122,101,115,102,116,140,126,131,136,160,133,0
male,0,94,0,2,2,3,2,4,2,0,3,5,2,4,4,3,2,2,2,1,2,2,2,3,3,2,0,1,1,1,3,1,1,1,1,0,1,3,2,0,1,0,1,0,2,1,3,2,1,3,1,0,2,4,0
,1-4,23,0,1,1,1,1,0,0,0,0,2,0,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
,5-9,19,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
,10-14,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
,15-19,67,1,4,0,2,3,2,1,2,2,1,1,2,3,3,2,0,3,0,1,0,1,0,1,4,2,3,0,2,0,0,2,1,2,0,0,0,0,1,0,2,0,1,1,0,2,1,1,2,3,1,0,1,0
,20-24,108,3,2,2,3,2,2,2,1,4,3,3,4,1,2,1,0,1,1,1,0,1,2,3,1,3,2,2,2,5,1,4,3,4,4,1,3,2,3,1,3,1,2,2,3,3,1,3,0,1,1,2,1,0
,25-29,206,1,3,3,6,3,5,2,3,1,3,2,3,4,4,9,4,6,1,7,5,5,0,4,4,3,5,3,4,6,1,4,5,5,3,6,4,6,5,0,3,3,7,4,5,5,3,6,3,7,9,2,1,0
,30-34,238,7,6,4,5,7,3,4,4,7,6,7,3,3,7,6,8,5,0,8,8,6,4,5,6,5,4,4,5,10,4,2,3,3,1,2,6,7,6,2,2,3,3,3,4,5,3,2,4,6,6,2,2,0
,35-39,292,5,5,9,6,3,8,5,5,8,4,1,2,9,6,5,8,3,2,12,8,4,2,5,3,5,8,9,8,6,5,6,2,7,10,8,7,7,10,8,5,4,3,5,3,5,6,4,8,5,3,5,2,0
,40-44,530,8,9,12,10,17,11,13,14,4,13,5,6,8,11,7,8,13,9,13,8,9,15,15,11,8,10,11,12,11,19,13,13,13,13,8,12,10,12,8,9,5,13,8,10,4,9,9,10,9,9,8,5,0
,45-49,721,8,15,14,15,23,10,14,22,8,16,23,9,15,13,18,13,11,11,20,12,8,12,16,9,13,15,22,12,16,18,17,9,9,8,15,14,14,10,15,14,7,16,13,9,9,17,9,17,14,20,25,9,0
,50-54,1031,33,30,21,21,15,19,19,26,22,32,23,21,23,19,25,24,16,26,20,15,20,24,22,18,18,11,20,28,19,10,20,20,23,16,14,11,17,13,22,21,15,19,18,21,18,16,13,14,23,19,28,10,0
,55-59,1366,39,35,23,26,35,30,23,41,29,28,26,21,35,18,27,27,26,18,22,31,21,25,31,14,21,22,23,25,25,26,28,28,31,23,24,18,15,24,34,29,29,21,41,27,26,18,21,26,23,26,36,25,0
,60-64,1807,51,46,42,47,45,26,30,33,34,29,31,36,36,45,33,38,40,34,25,29,35,27,30,28,29,39,23,44,40,36,27,39,34,41,40,33,26,42,31,28,27,31,33,32,40,35,40,26,39,29,31,42,0
,65-69,2844,78,77,52,54,51,59,63,67,62,60,56,47,58,65,43,49,60,62,47,52,46,62,56,39,69,53,48,43,47,49,48,48,51,67,44,54,54,53,49,48,48,54,49,55,46,59,64,50,62,63,48,56,0
,70-74,3244,70,67,67,61,62,65,66,74,79,75,75,59,76,62,58,53,69,61,58,53,73,59,56,47,48,63,58,55,53,46,61,56,58,53,62,61,61,47,57,54,69,64,74,57,64,78,60,58,70,78,82,52,0
,75-79,3843,94,83,87,77,92,91,90,99,66,91,85,76,78,81,68,66,64,61,63,65,75,76,76,79,69,68,67,64,85,66,66,57,60,63,67,68,65,62,80,80,69,88,62,59,74,85,93,54,61,71,90,67,0
,80-84,4546,101,101,97,99,87,103,93,87,85,90,80,95,106,100,79,76,88,76,84,76,85,83,97,83,76,77,71,67,75,87,72,80,75,87,98,73,89,87,75,79,79,98,98,90,73,92,84,102,102,114,104,91,0
,85-89,3827,93,75,89,93,73,78,74,76,88,63,83,66,74,70,71,75,71,70,68,63,60,58,67,68,60,61,65,64,73,54,71,63,76,71,71,55,71,64,66,84,68,73,69,78,82,79,82,88,103,81,93,96,0
,90+,2933,73,63,65,64,52,64,62,65,50,59,47,47,53,68,66,53,41,64,49,51,52,48,50,62,43,58,38,61,64,58,37,48,53,45,62,60,48,56,55,61,50,51,57,53,58,69,51,63,62,73,67,64,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
