"Weekly deaths by sex and age group, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-29,196,4,3,3,5,2,0,7,3,4,2,3,4,3,2,4,11,8,4,1,3,3,5,3,7,3,5,4,3,1,1,7,2,5,5,6,6,9,5,2,5,2,2,2,4,3,3,3,1,5,3,3,2,0
,30-34,234,11,6,3,1,4,4,6,4,6,6,4,9,2,6,4,3,2,3,3,4,4,7,4,3,5,4,3,3,3,5,2,3,5,4,6,7,4,4,7,6,1,8,4,6,5,5,7,1,5,6,4,2,0
,35-39,318,9,8,6,8,3,4,6,7,4,9,8,6,5,4,4,5,12,3,6,7,5,9,7,5,3,7,11,1,6,3,8,6,4,5,8,4,8,6,9,5,7,9,4,6,4,10,4,0,8,5,10,7,0
,40-44,481,17,18,9,11,11,12,8,10,10,11,13,11,6,10,7,15,8,8,13,12,6,10,10,7,7,7,6,9,10,7,7,8,13,5,8,8,7,6,8,7,7,9,6,8,5,6,11,15,7,9,11,11,0
,45-49,669,21,16,14,8,15,12,9,11,16,20,14,13,11,10,9,13,11,13,13,14,10,7,9,14,5,13,19,10,13,14,10,13,28,19,9,15,14,4,15,8,13,12,8,11,15,14,20,19,9,11,14,11,0
,50-54,972,27,21,13,25,24,19,24,14,11,18,16,23,17,22,15,12,16,16,26,20,15,14,15,21,21,24,25,20,16,16,16,19,17,17,10,24,18,24,18,22,20,15,16,18,22,20,19,16,23,21,16,15,0
,55-59,1343,35,30,28,28,23,34,31,28,25,28,19,27,23,32,28,22,30,27,21,27,28,24,25,23,26,21,21,29,20,24,16,29,24,26,23,26,26,25,25,18,30,25,25,23,26,21,28,32,31,23,32,22,0
,60-64,2045,65,60,51,37,47,38,38,56,47,38,43,36,29,36,37,39,40,27,36,43,28,30,38,40,42,30,38,46,19,42,39,36,31,37,34,31,28,43,40,42,34,33,39,40,44,40,39,47,52,50,32,38,0
,65-69,2422,52,60,43,61,51,55,38,48,53,48,41,51,46,65,54,49,52,38,44,49,36,39,43,51,47,55,30,37,31,43,44,38,50,39,38,42,56,47,35,46,32,48,56,48,56,47,48,33,44,56,54,55,0
,70-74,3224,82,69,64,70,61,73,86,69,74,53,63,65,60,63,46,54,53,53,65,67,54,57,64,59,59,62,64,50,61,43,63,73,36,69,60,59,57,68,48,71,64,51,69,58,64,79,52,57,70,71,63,59,0
,75-79,4012,117,111,100,83,87,84,77,95,90,52,83,74,70,65,88,79,77,80,69,69,70,66,72,70,71,85,61,66,66,61,67,76,67,87,74,69,66,72,66,87,65,80,72,72,73,84,75,90,88,74,95,75,0
,80-84,4259,111,96,100,82,78,84,77,99,116,70,84,87,73,75,97,76,86,61,86,86,59,70,88,65,71,65,55,64,63,69,83,75,83,83,70,94,87,85,86,66,84,85,70,100,81,98,94,83,97,76,90,96,0
,85-89,3271,74,89,65,62,67,71,76,70,68,68,59,71,60,78,55,65,59,61,61,56,63,56,50,52,62,59,63,49,52,51,52,45,65,59,39,50,59,49,62,64,68,55,73,64,71,70,71,66,73,86,69,69,0
,90+,2100,61,53,51,52,55,39,45,43,49,46,36,36,36,45,33,31,34,33,34,36,32,38,44,55,35,44,33,33,31,39,33,33,42,25,27,34,38,31,39,41,55,42,42,36,38,39,40,38,40,54,54,47,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
