"Weekly deaths by sex and age group, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,99,3,1,1,3,3,2,1,4,2,2,4,1,4,0,1,2,1,3,1,4,3,2,0,1,1,1,1,3,0,2,1,1,1,2,2,7,1,2,2,1,1,1,2,2,1,3,6,0,2,0,4,0,0
,1-4,19,3,0,1,0,2,0,1,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,5-9,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,10-14,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0
,15-19,52,1,0,1,0,1,1,2,0,0,3,0,2,3,2,0,1,1,0,0,0,0,1,2,1,0,0,0,3,0,0,2,2,5,1,1,0,3,0,1,2,0,0,2,0,0,0,2,0,2,1,2,1,0
,20-24,59,1,2,2,2,1,0,1,0,0,0,0,0,0,1,0,3,1,0,2,1,0,1,2,1,3,2,2,0,0,4,2,1,1,0,2,0,3,0,1,3,0,1,0,0,2,1,1,2,3,1,3,0,0
,25-29,70,1,1,1,2,1,0,3,0,1,0,2,1,2,2,2,3,2,2,2,2,2,1,0,4,1,0,0,1,1,2,2,0,1,0,0,1,1,0,1,2,3,3,2,1,1,3,1,0,2,2,2,0,0
,30-34,121,3,6,3,5,1,3,2,1,3,0,0,4,0,0,4,1,6,2,1,3,3,2,1,1,3,4,0,4,1,2,0,4,0,1,2,2,2,1,2,3,0,6,5,3,1,4,0,1,5,3,3,4,0
,35-39,165,6,4,3,5,3,9,3,4,3,6,4,2,4,2,2,4,2,3,2,1,1,5,2,3,1,4,2,3,0,5,2,1,2,2,5,3,3,3,4,1,5,2,5,3,6,3,2,5,4,1,4,1,0
,40-44,287,8,4,7,2,7,13,6,3,8,4,10,3,2,1,5,8,6,7,7,9,3,6,7,3,5,5,6,6,4,3,3,7,8,8,7,3,8,3,5,5,6,5,5,4,4,2,6,9,8,2,7,4,0
,45-49,427,17,10,10,6,10,9,9,9,7,8,8,6,4,14,8,12,7,8,12,7,5,6,10,9,8,9,10,10,9,5,9,9,8,6,5,6,5,12,10,10,5,10,6,10,4,13,7,5,4,3,11,7,0
,50-54,640,20,11,13,8,15,11,12,11,15,18,13,13,13,17,14,12,9,8,12,15,8,15,14,10,12,15,16,10,9,7,13,11,10,10,10,9,12,9,18,8,16,11,10,17,11,14,8,16,13,15,13,10,0
,55-59,846,26,28,17,14,23,13,18,12,13,16,10,13,18,16,17,11,17,21,14,14,18,21,12,18,13,14,20,14,17,17,22,15,17,8,15,14,15,9,17,22,21,17,17,8,18,20,18,17,19,12,17,13,0
,60-64,1426,48,38,28,24,26,34,24,30,37,38,19,34,24,31,24,30,13,22,28,31,23,21,23,25,22,22,28,23,18,24,32,27,25,23,35,22,27,34,36,21,31,21,31,23,24,28,34,26,29,24,29,32,0
,65-69,1824,51,47,28,46,36,43,39,30,38,48,39,36,36,37,34,37,35,33,34,37,29,46,36,21,32,37,41,32,31,32,25,37,29,27,35,24,37,32,38,33,19,34,39,34,30,42,32,26,39,34,44,33,0
,70-74,2621,68,65,53,51,53,65,67,58,45,43,46,47,51,56,56,56,49,51,46,45,52,43,50,39,60,41,55,63,35,37,40,49,56,36,54,41,44,39,53,48,53,60,51,54,41,53,46,50,65,52,49,41,0
,75-79,3684,120,89,81,66,74,74,76,77,75,75,76,87,80,70,75,74,65,58,67,62,74,72,68,66,66,59,53,79,70,49,54,69,52,69,66,61,82,67,67,67,86,61,66,70,62,70,62,71,69,80,78,78,0
,80-84,4924,126,136,112,118,107,92,88,107,106,104,88,109,73,110,102,85,95,86,87,83,76,95,85,115,79,88,89,95,84,94,90,103,80,85,91,89,81,89,91,81,72,96,96,90,98,92,86,105,114,79,104,98,0
,85-89,5219,155,136,129,108,108,112,101,108,90,121,106,101,88,137,116,102,106,100,109,83,91,83,88,75,103,80,91,109,90,65,100,94,68,100,89,100,87,90,107,92,80,92,92,95,122,117,94,84,108,110,99,108,0
,90+,5502,163,160,158,125,118,108,113,103,110,118,98,90,74,128,79,90,78,103,91,102,96,94,95,92,95,102,87,95,101,99,85,91,103,80,91,107,102,104,102,104,108,111,104,106,98,102,103,103,144,123,137,129,0
male,0,119,2,3,2,4,2,5,4,4,2,1,4,0,1,4,3,3,1,1,4,3,1,3,2,2,0,2,2,1,2,1,2,1,4,2,3,2,1,2,2,3,1,2,0,1,1,5,3,0,3,3,6,3,0
,1-4,23,1,0,0,3,0,1,2,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2,0,0
,5-9,18,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
,10-14,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
,15-19,95,2,0,1,2,4,1,2,2,1,4,1,1,4,1,1,2,3,1,3,4,2,2,2,3,0,2,3,3,1,1,1,2,2,4,2,1,3,0,1,2,1,3,1,3,1,0,0,0,1,5,2,1,0
,20-24,151,4,5,1,5,3,4,1,2,4,0,4,1,2,1,5,0,2,4,4,4,2,3,5,3,5,4,1,8,3,1,6,2,0,3,2,1,1,6,1,2,7,2,4,7,1,3,3,4,1,1,1,2,0
