"Weekly deaths by sex and age group, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,78,2,3,3,2,3,2,2,2,2,3,2,0,2,1,0,2,0,3,1,1,0,1,2,3,1,1,3,1,0,1,0,1,2,1,2,2,4,3,0,0,2,1,1,2,1,0,2,1,0,4,0,0,0
,1-4,14,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
,5-9,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,10-14,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,15-19,25,1,1,0,1,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,2,1,0,0,0
,20-24,35,0,1,0,2,1,2,0,0,0,0,0,1,1,0,2,0,2,0,1,1,0,2,0,1,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,1,1,3
,25-29,76,1,1,1,2,2,3,3,1,2,2,2,1,2,1,0,1,2,2,0,2,1,2,4,0,2,0,2,0,1,7,2,1,3,1,0,1,3,2,0,0,3,0,0,3,1,2,1,1,0,1,1,0,0
,30-34,121,1,1,1,2,3,2,2,5,4,3,2,0,2,0,6,3,2,1,1,0,4,3,1,1,3,0,1,2,2,3,5,2,2,3,5,1,1,3,3,3,1,3,1,1,1,3,2,5,5,2,2,3,3
,35-39,177,1,3,3,1,4,1,3,4,0,7,4,6,5,1,5,3,5,5,1,2,4,7,3,1,2,4,1,4,3,5,4,7,1,3,3,0,3,1,2,4,2,3,3,9,1,5,5,4,7,5,4,1,2
,40-44,261,3,9,5,6,6,4,3,6,6,4,2,4,4,5,4,7,4,8,1,6,8,7,7,5,8,6,2,8,4,8,7,5,5,4,3,4,5,4,5,5,5,3,3,5,4,5,9,4,5,1,4,4,2
,45-49,469,7,17,12,12,12,14,8,9,13,8,7,11,9,8,5,8,9,6,8,8,14,10,9,5,11,7,7,7,6,15,10,4,4,5,12,5,7,8,7,6,9,9,7,7,8,5,9,13,9,7,15,12,9
,50-54,681,4,19,18,19,11,13,14,4,15,10,20,13,9,14,15,15,17,11,8,18,10,18,14,20,10,7,11,11,8,8,16,12,16,13,7,16,12,4,11,13,17,10,9,14,13,22,13,11,10,18,19,12,9
,55-59,923,21,37,15,24,20,19,19,15,15,20,20,17,16,12,15,18,19,14,14,12,8,15,11,22,15,15,15,16,17,16,22,20,13,13,22,18,14,15,16,17,14,22,19,28,16,17,12,18,24,21,20,18,12
,60-64,1202,24,28,37,34,29,19,22,21,23,22,15,15,26,20,26,17,15,22,24,23,28,23,24,26,25,23,18,22,20,17,27,24,18,23,20,20,19,30,22,16,28,17,21,23,23,24,28,14,27,24,21,22,23
,65-69,2003,39,60,44,52,41,41,42,36,36,49,35,37,55,41,39,32,42,31,38,46,30,39,33,43,31,44,43,28,35,37,35,37,32,34,30,28,39,36,33,26,48,25,33,33,41,38,30,45,27,41,36,32,45
,70-74,2677,65,78,59,64,54,57,66,56,53,47,48,42,59,62,48,44,43,56,53,50,49,47,44,54,54,55,48,49,42,44,39,53,56,42,56,45,32,37,53,55,47,50,47,41,36,35,51,61,44,48,55,51,53
,75-79,3754,92,120,89,93,93,94,94,89,70,75,79,72,70,70,81,76,66,73,81,73,54,57,72,65,67,67,71,67,85,63,69,79,57,59,61,66,79,51,49,67,66,59,55,69,66,70,50,57,61,64,70,57,55
,80-84,5088,103,163,134,112,105,111,121,121,127,115,117,94,101,101,100,90,100,110,77,92,84,96,97,78,95,83,83,95,76,90,93,91,81,84,86,81,65,91,89,82,85,80,85,98,88,108,94,78,95,96,108,72,87
,85-89,5722,126,168,171,137,136,133,133,124,142,112,126,119,116,105,130,94,99,103,99,103,85,109,113,80,80,109,113,88,101,85,91,118,80,104,92,83,96,93,104,89,91,97,96,115,92,110,95,109,104,99,113,101,111
,90+,6965,141,207,196,179,185,175,192,206,178,169,158,140,122,112,141,145,132,135,117,125,126,109,139,102,110,125,125,112,122,94,98,109,110,99,102,103,90,135,122,111,108,121,106,123,121,123,119,120,118,144,138,114,112
male,0,101,3,2,3,1,0,1,3,4,1,5,1,4,4,2,2,0,2,1,1,3,1,3,0,1,1,1,1,2,0,2,1,2,3,4,1,2,4,2,1,4,0,3,3,3,1,1,0,3,1,1,4,2,0
,1-4,22,0,1,2,0,2,2,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
,5-9,12,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
,10-14,12,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
,15-19,60,1,1,3,1,3,2,3,2,1,0,0,1,1,2,1,3,0,0,0,2,1,1,0,3,1,1,3,0,0,2,1,0,0,0,0,2,0,1,1,2,1,1,2,0,1,2,2,0,2,1,1,1,0
,20-24,104,4,1,0,2,1,0,1,2,3,2,1,0,2,1,5,1,4,1,2,3,2,1,3,2,1,1,3,1,1,2,1,1,4,2,2,4,1,3,2,1,6,0,0,2,2,2,4,3,2,3,2,1,3
,25-29,162,3,7,3,5,3,4,6,4,2,2,1,6,5,3,1,5,1,2,4,4,4,4,4,2,3,1,1,2,4,4,2,4,0,7,3,2,0,2,1,2,4,3,5,5,1,2,3,2,2,3,3,3,3
,30-34,234,0,5,5,3,2,5,5,9,2,6,2,4,8,2,6,6,6,6,6,10,6,2,4,9,7,4,4,3,2,3,6,4,6,3,8,7,5,3,3,5,3,5,3,4,1,4,4,3,2,3,6,3,1
,35-39,297,9,7,2,8,4,6,3,6,10,6,7,2,5,6,8,7,4,2,6,8,7,7,5,6,5,9,2,4,7,5,8,6,5,6,6,4,8,5,2,4,9,10,4,4,6,0,2,8,4,5,3,10,5
,40-44,457,11,8,11,5,10,9,11,11,12,4,13,11,12,9,6,8,13,4,6,7,9,7,15,8,8,11,9,3,3,10,6,8,9,6,10,6,10,5,11,5,10,13,6,10,11,6,10,13,8,6,11,8,5
,45-49,688,7,12,17,19,16,11,10,10,21,11,13,10,12,14,12,14,12,14,11,15,11,9,15,25,9,11,18,13,15,10,10,15,9,13,13,12,18,13,6,12,15,10,16,11,17,9,13,21,8,13,12,8,17
,50-54,960,14,27,23,24,21,19,25,23,17,20,15,22,25,15,24,23,18,14,14,27,16,16,18,15,23,12,17,16,15,16,18,16,16,20,11,17,19,13,14,28,8,16,20,23,15,18,21,17,11,16,15,13,21
,55-59,1350,21,41,31,32,26,25,23,21,25,27,14,26,32,18,22,28,27,23,32,32,24,35,24,29,18,24,22,24,37,19,25,21,29,33,20,28,13,22,26,38,22,11,27,25,26,29,22,32,24,20,31,16,28
,60-64,1831,40,59,38,36,36,40,43,29,41,31,46,28,33,29,44,42,29,33,38,25,42,33,37,36,33,42,29,29,38,32,40,30,32,30,34,30,36,35,36,26,33,29,29,32,30,31,21,33,43,36,35,35,24
,65-69,2849,45,67,60,57,57,60,60,65,69,49,40,60,62,35,61,60,66,72,55,53,52,54,54,49,64,49,46,62,55,52,37,52,56,54,45,45,53,48,44,55,50,59,55,57,57,53,47,54,60,52,49,38,39
,70-74,3457,52,92,90,78,69,90,84,67,75,71,79,70,70,72,74,60,74,59,53,65,55,62,68,59,60,54,71,53,50,68,53,59,68,45,59,67,61,74,71,63,55,43,44,69,61,57,68,60,77,62,77,48,72
,75-79,4143,69,119,96,97,69,98,76,97,96,66,86,83,82,52,71,73,72,95,72,77,82,73,89,82,78,86,60,78,83,70,66,70,73,70,56,76,77,66,67,78,85,81,72,84,61,75,87,81,73,92,70,73,83
,80-84,4621,89,127,125,98,118,115,127,102,94,86,96,92,80,87,77,80,96,95,70,73,83,82,69,85,73,69,72,84,83,51,75,78,76,80,78,88,83,59,92,66,89,73,78,81,101,105,99,94,98,79,90,92,89
,85-89,4032,87,107,107,99,78,98,85,92,91,88,85,93,77,78,92,74,72,61,61,80,91,65,65,58,79,67,82,72,58,71,61,65,67,68,56,65,80,80,66,74,59,75,73,80,62,76,74,92,78,80,72,54,62
,90+,3004,60,106,85,73,62,69,70,75,58,69,65,62,60,62,64,56,55,54,63,55,47,43,61,60,48,43,55,52,49,44,52,46,35,52,51,46,52,55,49,50,51,56,58,50,59,65,53,57,56,51,58,38,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
