"Weekly deaths by sex and age group, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55-59,992,20,24,20,18,22,28,24,19,27,14,20,20,19,18,17,16,23,24,16,17,23,18,20,25,24,16,14,14,17,18,13,16,17,11,12,16,23,18,18,19,19,24,21,17,18,25,22,15,18,21,20,14,0
,60-64,1434,38,38,24,33,36,32,31,22,27,43,28,21,29,20,26,20,33,29,23,29,29,20,27,35,17,23,28,28,21,18,18,27,22,30,26,34,32,24,18,30,23,32,30,20,36,28,27,23,33,26,49,18,0
,65-69,2077,41,42,52,53,39,44,41,49,37,44,32,34,40,40,34,35,39,49,26,37,36,57,30,38,44,34,40,36,42,30,44,47,43,32,43,38,39,37,25,34,34,37,46,33,35,49,43,55,37,46,51,34,0
,70-74,3071,55,82,69,62,74,60,64,65,53,60,66,57,63,54,54,41,61,60,64,55,48,61,61,52,66,57,61,59,56,54,42,49,55,57,53,47,59,42,54,92,57,54,52,80,54,53,57,69,56,71,76,48,0
,75-79,4416,96,116,105,112,94,72,100,91,74,86,86,100,88,93,94,75,93,90,68,81,74,85,79,79,78,71,85,84,78,80,68,87,65,53,86,73,56,81,74,102,85,99,95,83,97,102,88,90,80,85,100,60,0
,80-84,5459,111,132,141,129,131,120,133,103,115,113,109,114,82,118,102,89,106,103,97,97,107,107,89,98,99,113,95,92,91,80,88,106,83,103,99,100,118,100,82,90,94,112,97,96,110,102,109,104,122,113,130,85,0
,85-89,5173,98,160,134,119,118,131,108,90,117,119,108,94,106,108,95,85,92,112,90,92,91,103,95,95,89,91,81,79,79,88,86,92,86,69,85,98,97,90,97,95,82,85,103,96,92,126,113,112,124,103,109,66,0
,90+,5720,126,170,129,111,128,130,117,129,114,114,98,118,114,118,118,100,122,100,114,101,97,88,103,104,94,103,99,98,88,100,98,91,100,85,98,99,98,95,99,95,111,111,116,106,123,122,130,129,119,119,128,103,0
male,0,143,2,4,1,4,3,4,1,2,2,4,3,1,4,1,1,1,5,2,3,3,4,5,0,1,1,3,1,5,3,5,2,3,2,5,4,1,3,3,1,4,4,4,3,3,4,0,3,5,1,3,2,4,0
,1-4,35,0,1,2,0,2,0,1,0,1,1,1,1,0,2,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,4,1,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,1,2,1,0,1,1,0
,5-9,16,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
,10-14,31,0,1,0,1,0,0,0,0,1,0,0,0,1,2,3,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
,15-19,121,2,3,2,4,3,3,3,1,3,3,0,3,0,1,2,5,2,2,5,2,1,3,1,0,2,2,1,3,2,3,0,2,2,1,0,1,2,5,4,4,2,0,6,2,2,3,4,4,2,2,3,3,0
,20-24,182,3,3,2,5,4,4,3,4,2,3,2,2,3,6,5,6,3,2,3,1,4,4,3,3,4,5,5,3,6,1,4,5,2,2,4,3,3,7,2,2,2,2,4,4,9,2,8,2,6,3,1,1,0
,25-29,187,2,7,2,7,3,4,2,3,6,5,4,5,6,3,2,4,3,4,4,2,2,4,2,5,7,3,1,2,4,2,1,5,7,3,5,3,1,3,4,7,3,3,4,4,3,3,4,1,1,3,3,6,0
,30-34,276,3,9,5,6,10,4,7,1,4,2,7,4,5,6,11,4,3,10,10,9,3,3,5,2,5,9,4,3,5,3,8,4,4,4,7,5,4,2,7,9,2,6,5,3,3,7,4,8,8,3,8,3,0
,35-39,391,6,14,12,5,3,3,13,9,7,4,10,5,9,7,7,11,7,7,10,8,10,10,11,9,9,5,5,13,7,7,4,3,9,7,2,6,3,4,10,3,5,4,4,5,8,15,11,7,8,9,14,7,0
,40-44,490,6,15,13,6,9,13,7,12,9,9,5,10,14,9,12,8,8,10,12,11,9,11,9,9,15,5,6,4,11,7,11,8,9,7,14,11,7,7,9,11,5,6,7,13,9,17,9,18,7,6,8,7,0
,45-49,664,14,23,13,6,17,9,19,16,14,16,7,16,12,12,11,9,12,9,14,12,9,17,13,14,13,12,12,10,15,13,11,14,18,13,17,8,12,8,13,19,13,19,7,15,14,7,11,10,10,10,14,12,0
,50-54,969,17,39,18,22,25,17,15,21,33,22,14,12,10,15,24,17,19,20,11,17,14,28,17,20,23,19,17,15,21,19,16,22,16,21,11,16,20,20,20,23,14,14,16,19,19,18,23,15,10,21,18,16,0
,55-59,1536,26,45,35,33,22,37,29,27,31,42,33,32,24,25,30,24,38,31,19,27,30,30,37,32,29,23,24,22,30,23,38,30,37,23,19,34,22,20,29,40,27,27,30,31,37,29,32,28,30,32,27,24,0
,60-64,2230,50,53,57,40,38,41,40,51,47,46,50,47,44,36,45,36,44,46,35,49,38,58,44,47,49,41,45,42,34,44,35,39,34,27,37,39,49,34,45,43,42,56,30,41,45,45,41,53,42,41,47,28,0
,65-69,2913,59,83,71,68,61,61,75,47,57,51,55,50,50,58,72,37,61,73,57,55,44,61,61,58,54,52,54,50,59,36,49,63,70,45,55,48,39,65,64,49,67,50,51,60,52,44,55,51,62,45,55,44,0
,70-74,3832,93,100,86,82,89,87,72,72,78,69,75,64,80,74,71,59,76,67,71,79,67,85,81,69,74,69,74,73,87,67,60,64,52,80,76,66,69,72,57,69,69,84,75,74,76,92,64,67,57,80,81,58,0
,75-79,4492,82,139,107,107,101,74,91,79,104,89,97,70,89,90,95,83,105,79,80,96,74,90,81,69,65,69,82,71,73,79,99,85,64,75,68,78,86,91,84,76,86,88,87,90,95,93,94,101,70,92,104,76,0
,80-84,4411,81,106,100,104,100,108,99,95,94,90,94,83,76,94,82,73,102,87,70,75,71,79,84,79,87,75,71,65,88,69,80,78,85,74,69,80,90,78,64,92,60,83,75,109,96,77,96,104,92,95,84,69,0
,85-89,2776,58,68,62,61,52,51,61,77,55,63,55,48,48,65,57,44,65,58,52,54,54,62,50,54,48,50,40,56,36,37,36,52,42,50,49,50,50,50,44,54,59,56,49,46,49,49,57,57,47,75,63,51,0
,90+,1904,39,51,47,46,35,56,32,42,44,30,38,44,33,28,31,22,47,39,32,37,41,32,33,39,30,33,33,26,23,36,26,43,20,38,35,24,31,50,37,32,44,37,22,51,46,38,44,40,43,40,40,24,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
