"Weekly deaths by sex and age group, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,119,2,1,1,2,3,2,1,6,4,2,2,3,5,6,1,2,2,3,3,3,3,0,0,3,0,2,1,3,1,3,1,1,3,4,1,2,3,3,1,1,2,2,2,4,2,4,1,1,1,3,2,5,0
,1-4,24,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,2,1,1,0,1,0,2,0,1,1,1,0
,5-9,18,1,2,0,3,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0
,10-14,20,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
,15-19,58,3,3,0,2,0,0,1,5,2,0,0,0,1,1,1,1,1,0,0,2,1,1,1,3,1,1,0,3,3,2,0,1,1,1,1,0,2,3,1,1,0,0,2,0,1,2,0,0,0,2,0,1,0
,20-24,64,2,2,1,1,1,1,3,2,1,1,1,2,1,0,2,3,1,1,0,0,0,0,1,1,2,0,1,1,2,2,1,3,2,1,2,0,2,1,0,1,0,2,2,0,2,1,1,2,1,1,2,1,0
,25-29,67,1,0,0,4,2,2,0,1,3,1,0,1,3,0,1,1,1,0,2,2,0,4,3,2,1,4,0,1,1,0,2,0,2,2,1,2,2,2,2,1,2,0,0,0,0,0,0,4,1,0,2,1,0
,30-34,114,2,2,1,3,2,2,1,2,1,2,4,4,3,4,2,1,3,3,4,1,2,2,2,3,1,2,0,1,1,6,2,0,4,0,1,1,3,2,1,5,4,4,1,1,2,5,1,2,1,5,1,1,0
,35-39,193,0,2,10,5,2,4,4,2,3,4,4,4,2,4,5,2,8,4,3,2,3,4,2,4,4,4,9,3,2,4,2,5,2,3,3,0,3,2,4,8,4,4,3,2,3,4,3,8,2,7,3,5,0
,40-44,297,10,7,8,7,9,8,5,6,8,5,3,7,5,5,7,10,3,6,5,4,5,3,9,6,5,6,2,2,8,2,8,5,10,4,7,4,7,4,1,7,10,4,9,5,5,3,2,10,7,1,6,2,0
,45-49,445,8,9,4,9,4,10,11,16,12,7,13,10,7,5,16,8,9,3,7,6,9,11,6,8,10,5,6,10,7,8,9,7,3,5,10,9,8,5,6,5,13,9,9,7,12,14,13,11,13,9,8,6,0
,50-54,618,19,14,19,14,13,12,9,20,9,11,24,12,11,12,5,7,11,12,8,11,5,9,7,10,17,13,11,13,13,16,7,18,12,9,6,10,5,16,7,12,21,13,13,10,12,10,15,9,8,19,13,6,0
