"Weekly deaths by sex and age group, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,98,0,3,1,1,1,2,1,1,1,0,5,4,0,2,1,2,2,1,4,2,1,4,3,0,6,2,3,1,3,0,2,1,3,1,2,0,2,2,3,2,2,4,1,1,1,2,2,1,5,1,1,2,0
,25-29,167,2,1,6,2,1,2,2,4,6,1,0,2,5,2,0,5,1,2,6,6,1,6,3,4,4,2,3,1,7,6,3,4,6,3,1,5,1,1,4,5,3,3,4,1,6,4,4,6,3,6,1,0,0
,30-34,259,8,4,4,5,8,6,2,4,7,6,4,3,4,4,6,4,6,6,2,2,8,3,5,2,2,8,4,8,6,3,6,13,8,7,7,7,5,4,3,5,6,5,4,5,4,4,4,6,3,3,4,2,0
,35-39,339,8,6,6,11,5,11,4,10,6,6,9,5,2,4,6,2,6,5,7,6,7,5,14,10,3,4,2,8,7,11,7,6,4,5,6,5,4,3,12,5,8,8,12,10,7,4,6,7,6,8,5,5,0
,40-44,446,12,13,7,10,5,7,8,8,10,6,6,7,9,11,7,12,13,9,6,10,12,7,8,13,10,11,9,8,14,9,11,8,8,8,7,7,9,10,11,6,3,13,10,7,9,13,3,2,5,6,8,5,0
,45-49,735,13,14,15,13,14,17,14,12,16,17,13,13,15,16,15,11,15,11,18,14,18,13,13,21,18,4,13,10,15,16,13,12,13,11,22,12,13,16,18,15,7,18,22,13,10,14,14,18,12,11,11,13,0
,50-54,982,15,26,15,25,22,22,16,23,20,25,17,18,14,28,17,15,25,20,30,18,17,16,18,18,21,16,17,15,17,13,18,14,17,19,19,7,19,20,19,15,21,23,14,16,22,25,14,20,17,28,23,13,0
,55-59,1304,20,34,27,35,23,23,22,26,27,30,28,29,25,26,20,23,24,21,20,19,17,23,16,23,24,22,25,19,34,26,24,24,15,25,30,30,27,34,23,27,28,30,17,25,29,23,24,26,25,38,31,18,0
,60-64,1799,35,43,46,38,42,36,43,34,32,25,28,33,27,30,29,36,29,27,42,30,39,31,36,36,46,32,38,33,34,33,31,36,29,38,26,30,31,23,26,29,38,30,39,36,46,40,51,31,39,47,34,26,0
,65-69,2603,45,55,58,52,45,46,54,50,61,48,53,57,57,47,44,63,48,44,54,48,46,49,39,47,61,52,45,44,52,46,47,45,35,41,37,53,45,48,45,48,46,62,50,50,57,50,50,59,58,56,64,47,0
,70-74,3403,67,75,59,65,72,65,67,54,69,58,69,69,76,61,59,72,62,69,59,67,62,56,68,63,57,75,72,58,52,48,58,49,58,59,60,66,62,76,67,64,85,53,72,75,87,65,59,76,76,76,76,59,0
,75-79,4128,74,100,94,88,95,78,79,97,69,70,63,91,93,85,51,83,82,86,82,83,80,67,70,60,67,69,83,64,85,82,70,54,84,76,64,75,72,63,80,73,81,78,91,76,72,105,87,83,97,88,102,87,0
,80-84,4619,100,106,85,94,85,96,100,101,87,95,88,89,101,69,92,103,85,71,86,86,80,75,75,85,98,75,101,97,87,86,78,80,80,79,77,90,82,94,81,93,99,69,74,86,78,96,99,106,87,102,109,102,0
,85-89,4064,93,102,81,73,95,85,91,70,82,92,77,65,73,72,75,79,76,92,88,70,72,84,76,79,64,62,69,71,70,65,69,71,72,65,64,55,56,76,70,67,88,78,90,63,81,86,100,88,94,99,110,79,0
,90+,3102,81,83,66,69,76,66,62,74,70,57,78,51,63,66,52,43,55,55,44,47,58,60,51,57,59,54,44,70,48,49,43,51,51,67,62,50,49,61,56,59,43,55,47,55,62,54,65,49,69,82,92,72,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
