"Weekly deaths by sex and age group, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,87,0,2,4,5,0,2,1,1,0,0,4,4,0,5,1,1,2,1,1,3,0,0,0,2,2,1,2,0,4,4,2,1,0,1,4,0,0,2,1,1,2,2,2,1,2,2,0,0,4,5,2,1,0
,1-4,19,2,0,0,1,1,0,0,1,0,0,2,1,0,1,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,5-9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,10-14,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
,15-19,43,0,2,0,0,2,1,0,2,1,1,1,1,0,0,0,2,2,1,1,1,1,1,0,2,0,0,0,1,1,1,2,0,1,1,0,0,0,0,2,0,2,1,0,2,1,1,3,1,1,0,0,0,0
,20-24,38,0,0,1,0,2,1,0,1,1,0,1,0,1,1,2,0,1,1,0,1,1,2,1,1,0,3,0,2,0,0,1,0,0,0,0,0,1,1,2,0,1,1,0,0,0,1,1,2,1,1,0,1,0
,25-29,59,0,1,1,3,1,0,1,1,1,1,2,0,1,5,1,2,1,1,1,0,0,0,3,2,2,1,0,2,0,2,1,2,3,1,1,1,0,2,1,1,1,0,1,1,0,1,0,0,1,1,2,2,0
,30-34,114,4,5,1,1,0,6,1,2,2,4,0,0,1,4,2,5,2,3,1,1,5,3,2,6,1,2,0,3,3,4,4,0,1,3,3,1,4,3,3,1,2,0,1,3,1,2,1,2,4,0,0,1,0
,35-39,152,0,1,4,2,3,5,3,3,3,3,2,4,3,5,2,3,7,1,2,5,1,0,1,1,3,1,5,6,1,3,3,7,5,2,3,3,3,1,6,2,1,4,3,5,1,3,4,2,5,3,3,0,0
,40-44,244,3,4,4,6,4,6,6,6,5,8,8,7,4,4,5,4,5,4,2,3,3,5,1,3,5,5,12,6,8,2,2,5,5,2,6,4,3,5,4,8,4,8,6,4,2,4,4,4,3,4,5,4,0
,45-49,418,7,6,7,10,12,9,9,9,6,7,12,6,13,10,6,7,12,10,2,5,5,7,7,3,13,9,4,11,12,6,3,4,10,12,7,10,12,5,4,5,10,10,8,11,8,11,9,5,10,9,8,5,0
,50-54,649,12,16,17,14,12,14,8,18,22,15,12,18,13,10,12,9,12,10,11,17,9,19,12,5,10,8,12,15,12,17,8,12,7,9,8,15,13,13,8,10,18,13,11,10,17,17,10,11,10,18,11,9,0
,55-59,875,15,24,19,18,13,22,13,17,22,13,7,21,14,17,19,25,23,24,18,16,21,13,10,22,13,18,21,10,10,13,5,12,18,15,20,20,15,25,14,17,23,12,15,17,19,12,16,17,14,19,20,19,0
,60-64,1236,24,35,30,23,31,25,29,28,16,29,20,30,17,25,31,16,32,23,20,30,15,27,21,24,38,23,18,22,21,24,26,23,18,23,18,23,17,20,23,27,22,16,23,16,26,28,20,26,24,28,22,20,0
,65-69,1853,35,54,48,37,43,39,43,44,32,40,36,39,33,39,34,32,35,43,41,39,29,35,38,31,44,35,32,33,32,31,32,35,27,22,32,39,24,35,39,32,31,37,32,30,31,43,29,33,30,30,45,39,0
,70-74,2574,56,71,61,63,44,53,48,51,46,55,57,63,54,49,54,63,57,68,46,45,49,51,41,44,44,43,38,39,39,34,35,42,39,41,53,42,43,49,53,55,53,47,53,55,50,45,49,39,47,55,56,47,0
,75-79,3663,88,82,85,78,81,71,67,82,64,71,81,77,65,84,87,76,65,84,71,76,71,65,71,62,59,88,69,76,57,58,67,60,64,56,67,63,69,72,55,69,58,73,73,68,67,62,76,69,70,72,53,69,0
,80-84,4831,120,129,109,116,114,108,99,109,102,110,90,99,106,101,102,99,138,96,70,98,88,80,73,92,99,84,101,76,57,82,61,78,83,58,90,92,86,89,97,77,61,82,96,90,95,89,86,97,109,101,85,82,0
,85-89,5317,140,142,137,121,122,122,115,123,126,105,108,102,110,118,121,106,116,99,98,91,83,98,96,92,107,93,90,90,91,103,83,72,87,81,93,81,94,78,90,94,89,93,95,117,121,86,101,112,120,88,100,77,0
,90+,6047,141,177,146,142,178,159,136,127,119,137,126,120,129,155,115,145,105,120,119,114,112,87,104,102,117,87,114,104,101,80,112,96,97,87,93,87,98,103,96,114,85,98,115,90,124,105,124,120,135,121,131,98,0
male,0,96,3,2,2,0,0,1,1,1,4,0,2,1,4,2,3,1,2,2,1,2,1,4,1,3,2,1,2,1,0,2,0,0,2,4,4,2,2,0,3,1,3,6,2,1,3,3,1,2,1,2,2,1,0
,1-4,21,0,0,0,0,1,0,1,0,1,2,2,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0
,5-9,9,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,10-14,18,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,15-19,70,0,2,1,3,0,1,3,2,2,1,1,1,0,0,1,1,5,1,1,5,1,2,3,2,2,1,1,3,0,2,2,3,0,4,0,1,0,1,1,1,0,0,0,0,0,2,0,2,1,2,2,0,0
,20-24,112,3,3,2,3,7,4,1,3,2,2,1,2,1,3,0,2,2,2,4,5,1,1,5,0,1,1,1,4,0,4,1,2,2,5,2,2,1,1,1,2,5,3,3,3,0,1,0,2,0,2,3,1,0
,25-29,155,2,7,7,4,1,3,0,3,6,4,3,2,2,2,5,1,6,3,2,4,3,8,2,1,2,6,4,5,0,4,5,1,4,4,2,6,1,3,2,6,3,3,1,1,1,1,1,3,3,1,1,0,0
,30-34,223,5,6,11,4,3,4,7,6,9,3,9,3,3,3,4,4,7,2,4,3,2,6,5,3,7,4,5,7,5,5,3,9,2,1,1,3,1,5,4,6,6,3,1,4,1,3,4,2,3,2,8,2,0
,35-39,282,5,9,4,5,5,6,6,6,4,5,10,5,6,3,2,7,8,5,2,7,6,4,5,9,8,4,3,4,5,9,5,3,4,11,5,0,4,6,5,6,6,5,4,2,5,4,7,9,7,9,4,4,0
,40-44,489,6,13,8,6,13,13,10,8,13,11,8,10,5,15,15,8,8,11,9,6,10,12,9,10,12,10,10,9,6,13,10,6,7,5,6,1,13,11,3,11,8,10,9,14,7,11,8,5,15,17,8,7,0
,45-49,665,10,15,17,11,22,18,12,10,16,15,14,14,5,16,24,14,12,14,16,15,12,13,16,10,12,6,5,15,13,13,15,11,9,10,17,18,11,10,6,9,12,9,7,12,8,15,13,21,15,11,14,7,0
,50-54,916,15,22,14,20,28,25,20,17,17,18,16,16,12,20,20,15,15,12,14,26,20,16,20,17,18,25,17,16,13,22,17,21,17,20,14,16,17,16,17,19,18,18,16,14,16,13,12,17,15,18,26,13,0
,55-59,1297,28,37,28,30,28,28,22,30,22,31,27,28,23,23,28,17,26,26,26,28,40,24,27,25,21,28,19,26,29,21,20,26,24,29,21,11,14,25,20,22,25,31,19,25,27,15,27,26,26,20,26,22,0
,60-64,1754,35,46,32,28,39,34,34,37,37,42,34,34,35,39,41,31,45,33,46,38,37,31,34,22,26,31,30,35,30,30,30,39,33,29,35,26,26,31,29,29,29,44,37,41,32,43,30,34,26,30,32,23,0
,65-69,2584,47,51,55,53,51,50,49,62,55,49,53,50,47,68,67,50,50,49,55,59,57,59,44,42,49,51,48,43,37,45,66,42,63,45,53,47,50,31,34,63,32,51,61,51,63,35,38,45,40,36,49,44,0
,70-74,3138,72,83,71,72,73,54,70,71,56,55,58,55,55,67,62,68,78,56,69,50,66,58,65,56,57,68,45,63,43,67,48,52,50,55,52,70,57,59,58,67,52,59,55,48,57,60,58,67,54,58,64,55,0
