"Weekly deaths by sex and age group, 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,103,4,2,1,1,1,0,1,0,2,2,2,0,2,1,3,3,2,3,1,6,3,1,0,1,1,3,5,2,3,0,2,0,0,2,3,2,3,1,2,2,0,1,1,3,4,3,4,1,2,0,7,4,0
,1-4,26,1,0,4,0,1,0,0,0,1,0,1,0,0,2,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0
,5-9,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
,10-14,17,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
,15-19,40,0,1,0,0,0,1,1,1,0,0,0,2,2,0,1,1,1,2,1,0,2,0,0,0,2,0,1,0,0,1,2,0,1,0,2,0,1,2,0,0,1,2,2,2,0,1,1,1,0,1,0,1,0
,20-24,58,1,2,3,1,2,0,1,0,1,0,1,1,0,1,2,2,1,0,1,3,0,0,2,1,0,0,3,3,1,1,2,1,0,1,1,1,2,1,1,0,2,3,0,2,2,0,1,1,2,0,1,0,0
,25-29,68,4,4,2,1,1,0,0,0,1,1,2,1,2,0,1,0,3,1,1,2,1,2,0,2,0,3,0,2,1,0,0,0,2,2,1,2,1,1,1,1,0,0,0,3,2,2,1,2,0,4,2,3,0
,30-34,102,2,5,3,2,1,1,1,2,2,2,0,2,1,1,2,1,0,0,3,1,1,1,1,1,2,2,4,0,1,2,1,4,1,3,3,3,2,2,3,1,2,3,2,1,3,3,6,3,0,2,5,2,0
,35-39,195,1,5,5,1,5,2,6,4,5,1,1,4,3,6,4,6,4,2,5,6,4,2,4,5,5,2,2,2,2,4,3,5,1,3,5,7,3,2,4,3,3,5,2,7,6,2,5,4,3,5,6,3,0
,40-44,302,7,7,5,1,8,4,3,11,8,10,7,7,4,4,5,8,9,5,4,9,5,7,2,7,8,5,3,7,7,9,8,11,2,4,6,4,5,4,2,5,8,4,5,3,7,3,4,3,5,4,10,9,0
,45-49,453,13,9,5,7,10,6,13,13,13,13,11,10,12,11,3,8,7,10,14,8,8,7,8,4,8,5,5,13,7,9,7,10,6,8,13,14,7,11,11,8,6,10,10,6,5,5,7,5,12,6,8,8,0
,50-54,637,16,21,17,11,12,18,8,10,8,20,15,7,10,13,8,15,8,6,18,12,14,7,13,12,11,13,4,13,9,9,10,11,10,8,18,12,20,13,11,16,19,14,10,16,13,13,10,11,9,11,14,10,0
,55-59,985,15,27,24,19,18,27,28,25,15,25,16,13,24,28,18,14,22,25,12,23,17,17,22,11,12,21,13,14,23,13,16,15,17,14,25,15,22,12,21,11,15,29,13,21,16,18,23,18,19,12,26,26,0
,60-64,1366,22,29,43,19,27,29,33,32,33,31,33,25,33,26,27,23,25,28,26,29,19,30,23,32,14,22,28,26,26,23,28,23,24,26,18,23,20,27,23,30,22,18,31,29,16,29,29,30,22,23,31,28,0
,65-69,1914,40,56,44,38,33,37,50,34,30,46,42,38,40,42,37,49,30,33,37,41,37,33,44,39,33,31,25,38,37,40,33,36,32,33,44,30,34,33,34,34,31,30,44,35,34,38,37,30,28,42,39,29,0
,70-74,2808,56,73,60,55,44,74,63,51,51,62,56,58,67,67,46,76,56,44,75,54,52,56,63,46,53,53,53,45,51,52,46,45,47,49,51,39,51,50,56,53,45,42,46,50,45,62,49,55,48,52,52,63,0
,75-79,4027,75,105,81,71,103,79,75,83,94,92,82,78,76,78,80,74,81,80,90,91,76,77,79,78,78,84,66,79,74,63,68,77,74,64,81,62,86,82,56,68,76,76,63,77,67,75,80,66,81,79,71,76,0
,80-84,5276,115,116,120,112,102,107,120,89,106,104,102,112,102,136,88,154,108,108,107,105,78,118,81,100,107,89,94,94,103,86,73,82,86,91,104,95,108,70,105,89,104,86,111,96,92,106,101,97,100,94,107,116,0
