"Weekly deaths by sex and age group, 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85-89,4978,107,115,97,96,100,91,95,99,103,92,105,85,101,100,98,129,109,102,107,92,83,88,103,80,98,86,98,74,99,80,76,81,92,94,86,91,96,97,82,84,93,92,99,91,103,89,87,108,103,94,118,110,0
,90+,5476,135,113,119,95,100,114,110,112,118,111,108,137,136,116,107,116,94,117,110,103,74,139,106,100,90,103,93,90,113,119,80,76,91,102,110,92,95,88,119,97,99,97,85,94,98,89,95,106,111,117,113,124,0
male,0,145,3,1,0,3,5,0,2,3,4,3,3,4,1,5,4,5,2,4,4,0,3,2,3,5,2,4,1,3,3,2,1,1,1,2,4,4,1,0,5,1,3,6,4,3,3,3,2,2,4,2,6,3,0
,1-4,21,4,1,1,1,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0
,5-9,18,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
,10-14,21,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,2,2,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0
,15-19,112,0,2,1,1,3,4,2,0,1,1,1,1,0,3,2,0,1,3,2,1,4,0,1,1,2,5,1,3,2,2,4,1,2,3,4,4,2,3,2,4,1,1,4,2,3,3,3,5,3,3,4,1,0
,20-24,206,5,5,5,2,4,4,3,1,5,1,4,2,3,0,2,4,3,5,7,5,3,3,6,4,6,4,5,0,3,5,4,4,2,9,6,6,6,2,8,7,2,4,3,2,0,2,6,3,6,6,6,3,0
,25-29,189,0,5,4,1,4,1,2,3,3,3,3,5,3,3,3,4,3,5,2,8,3,5,4,1,2,5,4,3,9,3,4,3,7,3,2,4,7,5,3,2,6,3,3,7,3,3,2,4,4,6,3,1,0
,30-34,272,3,4,7,4,9,3,1,5,9,9,4,6,6,6,7,8,7,3,4,5,7,5,4,4,3,6,5,8,1,7,5,3,4,4,6,4,6,5,6,4,3,6,8,6,4,8,7,5,2,2,8,6,0
,35-39,398,11,6,4,10,8,8,7,6,4,12,9,4,6,11,10,8,9,5,9,10,5,11,8,9,3,8,6,10,6,11,7,10,12,7,6,2,9,7,6,4,9,6,9,6,7,10,11,7,9,8,9,3,0
,40-44,540,11,14,10,10,13,12,12,8,1,8,9,6,14,14,8,11,8,15,15,11,5,13,14,9,7,10,8,14,8,12,19,12,13,7,11,6,13,11,12,7,9,5,15,13,10,11,7,8,8,12,13,8,0
,45-49,710,15,15,20,16,16,15,9,13,14,12,16,16,13,15,13,17,15,13,10,16,14,10,17,10,11,18,12,9,16,11,18,11,12,16,18,13,5,12,8,13,17,20,10,14,14,13,14,20,11,16,5,13,0
,50-54,987,25,24,26,17,18,24,14,28,22,19,22,21,14,19,12,18,18,16,22,21,19,25,15,20,22,17,23,14,18,18,13,22,17,16,17,13,23,12,17,27,21,24,21,16,23,16,19,11,18,14,22,14,0
,55-59,1506,35,40,40,26,23,29,38,31,35,45,18,32,33,37,23,25,34,26,34,21,35,35,24,25,32,20,35,28,29,33,27,25,24,27,32,33,25,26,21,24,25,24,36,25,22,22,22,28,31,27,27,32,0
,60-64,2061,45,54,59,54,49,38,30,40,39,44,41,42,39,44,30,37,24,39,43,40,35,34,35,33,41,34,27,39,34,39,37,37,37,32,42,41,43,37,39,43,50,33,36,29,42,50,36,34,33,43,59,46,0
,65-69,2615,45,61,63,49,55,61,60,50,52,44,49,49,55,61,52,58,62,43,59,58,48,39,61,44,50,56,51,46,58,44,52,32,43,39,55,47,38,39,49,42,49,58,40,45,50,62,51,44,51,34,52,60,0
,70-74,3351,87,92,66,66,57,77,76,56,65,65,69,59,75,72,47,71,66,84,63,76,63,63,60,56,73,53,49,52,50,61,57,56,60,57,56,60,54,62,75,65,59,64,51,63,75,76,65,74,61,54,79,59,0
,75-79,4100,101,76,79,73,68,70,81,73,81,96,83,91,94,95,79,91,83,84,72,79,100,68,78,75,80,72,67,71,51,69,73,73,80,75,72,80,88,73,67,77,62,87,72,80,84,80,71,78,97,78,86,87,0
,80-84,4253,103,102,88,103,88,83,72,94,74,112,94,76,106,94,98,93,86,90,66,74,79,66,95,94,68,76,71,68,83,68,71,93,56,64,67,78,73,69,83,82,85,77,74,79,69,73,78,83,104,76,83,72,0
,85-89,2934,78,67,75,59,59,58,61,49,61,51,55,49,73,73,49,76,68,52,44,49,40,53,53,53,58,46,58,49,40,46,43,38,57,46,63,51,47,66,59,62,43,67,64,59,61,44,52,53,62,59,68,68,0
,90+,1812,60,36,47,42,33,35,31,46,36,50,36,41,39,38,47,41,45,33,33,38,30,28,28,26,21,35,27,36,36,40,27,24,25,37,25,37,28,25,26,24,35,28,38,35,41,32,42,45,34,27,31,32,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
