"Weekly deaths by sex and age group, 20191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,61,1,0,2,0,1,4,2,1,1,2,1,2,1,2,3,1,1,2,0,0,2,2,1,0,0,0,1,2,1,1,2,1,1,0,0,1,1,2,2,0,2,1,2,1,0,2,2,1,1,0,2,0,0
,1-4,18,1,0,1,0,0,0,1,0,1,1,0,2,0,0,2,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
,5-9,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0
,10-14,14,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0
,15-19,33,1,3,0,1,1,3,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2,1,0,0,1,0,1,0,0
,20-24,54,0,1,2,2,3,1,0,2,4,2,1,1,0,2,0,0,2,0,1,0,0,0,0,3,1,2,2,0,2,3,1,3,1,0,1,0,0,1,0,1,1,1,2,0,0,0,0,0,0,2,1,2,0
,25-29,83,5,2,3,4,1,3,1,2,3,1,2,1,4,1,2,0,0,3,1,2,2,2,1,1,4,3,1,1,1,1,2,1,0,6,0,1,0,1,0,0,3,0,0,2,1,0,1,1,2,0,4,0,0
,30-34,118,3,4,2,1,3,0,1,2,3,3,2,2,1,6,0,0,1,4,7,1,2,1,3,3,3,2,5,1,2,1,1,2,5,2,4,3,3,1,3,2,1,3,4,4,2,0,2,1,3,1,0,2,0
,35-39,210,6,5,4,7,5,2,5,6,3,4,2,4,6,4,2,2,3,3,2,5,4,5,5,4,8,6,2,6,3,1,3,5,5,1,1,7,3,5,4,3,4,5,11,4,2,1,6,2,4,5,3,2,0
,40-44,302,1,12,8,7,7,7,6,15,6,9,10,6,2,10,2,4,3,6,3,2,4,5,3,3,1,9,8,8,2,8,11,2,5,6,2,6,9,5,6,5,7,7,12,5,2,4,11,6,2,4,6,2,0
,45-49,430,5,8,8,8,6,10,12,11,5,10,7,1,6,7,11,5,7,6,9,7,7,9,11,4,13,7,12,8,4,8,11,12,9,10,7,10,11,14,7,10,9,8,8,7,9,9,6,9,8,8,6,10,0
,50-54,657,14,15,15,12,14,14,14,10,16,15,12,11,18,12,8,11,12,10,11,8,14,11,18,15,9,11,10,18,14,13,8,12,13,20,8,7,14,12,15,10,11,14,14,14,17,11,8,13,13,13,16,9,0
,55-59,995,17,28,27,16,24,20,17,18,20,21,22,18,16,16,21,15,29,24,15,22,12,18,16,18,19,21,9,24,16,11,22,17,14,14,7,18,26,20,21,27,20,23,14,17,20,23,27,19,15,26,14,21,0
,60-64,1358,18,33,28,36,28,21,27,34,27,24,27,25,21,22,20,22,27,26,22,25,17,35,33,29,26,26,29,22,28,22,22,18,22,26,23,31,17,33,26,23,30,37,26,22,27,30,23,26,26,37,20,33,0
,65-69,1864,39,43,35,38,25,59,31,36,34,40,33,36,44,35,37,34,35,36,25,35,34,34,46,43,45,35,33,32,40,41,37,34,37,27,38,36,36,33,28,27,44,32,39,30,34,37,31,42,25,36,32,36,0
,70-74,2722,56,72,59,59,53,49,49,57,58,55,62,58,42,55,56,33,50,56,41,73,58,53,46,50,49,65,40,39,46,57,43,50,50,60,50,41,51,53,40,38,44,62,58,42,52,58,64,55,39,53,75,48,0
,75-79,3561,80,99,73,66,68,77,72,89,60,77,56,63,66,61,49,60,72,87,60,68,60,67,60,69,76,68,69,76,61,62,65,62,68,58,56,52,73,63,64,60,68,52,71,70,82,74,83,72,68,71,85,73,0
,80-84,4845,105,120,115,105,106,111,114,96,84,96,88,85,93,98,100,82,99,78,87,95,86,67,88,91,93,76,80,87,67,85,83,74,88,94,89,87,80,92,92,110,98,89,96,90,104,92,98,92,97,126,109,88,0
,85-89,5465,109,144,139,99,110,113,134,122,120,102,101,121,76,97,109,99,101,117,112,108,92,107,86,78,101,91,87,98,81,83,94,94,82,79,107,94,92,104,118,95,108,118,109,95,134,119,124,115,102,124,123,98,0
,90+,6608,130,176,169,116,142,141,129,144,139,130,113,146,135,107,112,99,120,113,122,122,130,116,107,108,126,117,94,129,126,106,98,105,128,112,118,97,116,110,154,122,137,139,113,123,149,134,147,150,150,177,149,116,0
male,0,103,3,4,3,2,3,3,3,1,4,1,1,4,0,0,1,0,2,1,1,3,2,2,1,0,1,3,1,3,1,3,0,1,4,4,6,4,1,2,1,1,3,0,4,2,2,1,1,0,1,3,2,3,0
,1-4,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
,5-9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,10-14,13,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0
