"Weekly deaths by sex and age group, 20191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-19,65,1,2,0,2,2,1,1,2,3,0,3,1,3,1,0,1,0,1,1,2,2,1,2,0,1,1,1,0,0,2,1,0,0,2,4,1,4,3,1,3,0,1,1,1,1,1,0,0,1,1,1,1,0
,20-24,140,2,3,2,4,3,1,2,4,0,1,1,5,2,3,5,4,5,3,4,1,3,1,3,3,3,0,5,2,1,4,4,1,1,2,1,4,3,1,3,3,3,3,2,4,3,2,5,5,2,5,2,1,0
,25-29,182,2,8,7,3,1,4,4,1,2,3,7,3,8,3,1,3,2,2,2,5,7,2,8,5,3,1,4,4,5,6,3,5,3,2,3,4,3,2,2,3,4,2,2,3,8,1,4,1,3,3,2,3,0
,30-34,254,1,6,7,5,4,4,2,10,2,2,7,7,5,3,2,5,2,5,5,3,2,9,7,5,7,5,9,7,5,4,5,10,7,2,4,3,5,3,5,3,7,3,6,4,7,7,4,6,2,8,4,2,0
,35-39,366,9,17,10,11,8,11,4,3,8,10,8,7,5,8,7,8,7,10,8,6,6,5,6,5,2,12,3,4,6,12,7,6,6,10,6,9,5,6,3,6,4,6,5,5,5,9,7,7,7,5,10,6,0
,40-44,524,4,15,10,8,9,10,17,6,9,12,15,13,9,11,10,11,9,10,11,9,10,6,7,10,9,12,9,16,4,9,12,11,18,12,10,9,8,9,13,11,9,3,5,10,10,13,10,12,9,16,9,5,0
,45-49,716,12,20,16,25,18,23,15,20,14,9,21,14,15,12,8,11,11,17,18,14,14,12,16,14,9,12,6,17,3,13,10,17,6,14,13,14,14,13,13,11,15,15,15,12,10,13,19,13,11,14,14,11,0
,50-54,988,15,24,23,26,23,16,16,24,21,11,17,23,24,21,21,17,18,15,15,14,20,18,22,13,22,15,17,16,11,19,22,19,17,27,24,13,20,8,33,20,17,19,15,26,19,21,26,15,17,19,22,12,0
,55-59,1282,19,36,21,27,29,30,22,17,32,22,25,23,24,22,34,18,23,35,23,34,24,24,20,22,14,23,17,33,25,28,27,18,22,28,21,16,27,27,29,20,18,23,27,25,24,23,21,31,29,31,31,18,0
,60-64,1837,35,41,53,40,37,54,50,40,43,35,31,39,28,36,38,27,35,42,37,35,31,33,37,37,26,35,35,34,32,32,21,29,45,34,36,32,35,28,26,40,32,34,35,33,28,43,27,37,28,50,38,18,0
,65-69,2474,44,84,61,50,51,56,44,72,44,56,50,43,44,62,44,39,49,52,45,56,48,29,39,43,47,48,45,44,46,41,50,48,57,35,39,38,42,50,47,37,51,41,45,50,46,43,43,41,50,57,55,33,0
,70-74,3477,80,74,75,76,78,65,70,74,66,73,63,70,75,62,66,45,70,62,64,65,70,73,56,72,61,81,80,65,71,59,62,56,56,65,61,48,58,65,70,61,73,59,76,71,60,70,59,79,64,70,74,59,0
,75-79,3978,80,95,91,83,83,93,77,83,73,86,75,55,67,69,81,58,99,65,56,76,83,72,73,62,73,74,55,78,59,75,72,88,55,73,61,71,75,70,86,82,80,96,74,83,88,70,93,75,91,86,94,66,0
,80-84,4659,84,132,121,102,103,96,106,85,78,97,90,87,95,65,74,80,85,100,79,76,79,82,89,88,77,75,85,78,88,92,96,99,91,71,80,92,97,89,89,79,101,84,99,101,93,93,89,75,98,99,99,77,0
,85-89,4161,75,99,104,89,89,71,77,89,86,85,87,75,87,72,82,60,76,85,77,82,74,79,74,74,81,56,72,79,55,79,74,71,64,65,82,82,69,93,81,90,77,87,67,86,76,92,96,87,72,97,100,83,0
,90+,3043,47,80,58,76,67,70,56,66,56,60,66,49,62,46,58,46,65,55,54,61,57,47,54,54,41,55,52,44,56,59,50,45,45,50,50,49,75,53,58,45,62,83,55,57,66,63,91,74,62,65,67,61,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) These statistics are provisional and subject to future revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
