"Weekly deaths by sex and age group, 2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35-39,369,12,13,4,7,3,12,7,3,5,5,9,7,7,4,7,4,4,7,6,6,10,7,8,7,4,10,10,13,7,10,7,13,10,8,8,8,2,6,5,4,6,9,3,5,6,9,4,11,3,10,6,8,0
,40-44,473,10,18,11,15,7,10,14,6,6,11,9,10,9,7,7,7,15,6,11,11,9,12,14,6,12,6,4,7,4,7,11,13,7,7,9,13,7,8,17,5,8,5,8,5,12,5,9,10,12,9,8,4,0
,45-49,623,14,15,11,19,20,12,16,11,6,12,14,14,13,10,6,17,19,25,11,15,9,11,15,11,13,12,8,8,14,14,7,8,9,10,14,6,14,7,8,9,11,18,8,16,13,14,6,11,11,13,9,6,0
,50-54,1093,33,35,20,24,21,12,18,19,23,19,24,11,24,20,17,22,17,21,27,31,26,22,16,28,19,14,23,28,21,21,13,16,21,16,24,16,19,23,16,25,24,25,8,22,31,24,17,24,15,20,26,12,0
,55-59,1530,56,41,41,47,24,35,31,26,30,36,33,34,28,29,29,29,25,33,22,30,29,38,27,25,21,28,27,25,23,26,26,28,23,34,29,38,24,27,26,25,28,25,26,27,39,25,24,30,24,20,28,26,0
,60-64,2258,71,69,59,63,52,34,49,52,39,39,42,44,39,37,43,47,51,40,29,38,35,39,39,35,31,37,56,46,39,35,40,41,37,43,34,36,47,33,48,31,57,45,32,46,44,53,42,35,43,44,54,44,0
,65-69,3091,111,98,74,68,66,65,66,56,64,65,53,63,52,54,53,46,64,59,67,48,52,57,49,63,79,70,57,55,61,57,48,46,51,51,57,55,56,51,50,49,65,48,50,55,51,70,57,52,70,51,60,56,0
,70-74,4133,158,140,104,82,80,77,78,94,86,90,73,69,59,76,59,85,69,65,75,88,79,82,75,79,84,77,76,75,76,75,60,70,76,71,62,70,79,62,89,75,74,101,67,67,87,77,77,86,60,82,82,74,0
,75-79,4694,189,152,143,103,100,97,112,83,88,82,81,91,85,94,89,65,88,80,97,69,75,81,78,78,79,74,91,78,76,93,71,94,90,80,81,84,70,76,88,91,83,74,99,82,99,94,103,76,113,86,82,87,0
,80-84,3829,139,122,81,82,88,69,63,83,88,73,67,59,78,73,72,53,79,61,84,69,65,60,74,69,67,66,57,74,68,57,53,65,66,66,60,75,74,71,83,67,76,80,74,73,63,93,74,76,69,74,84,73,0
,85-89,2865,127,93,89,49,65,57,49,66,43,60,49,56,57,53,45,57,61,47,53,61,52,54,45,55,54,54,49,56,49,43,38,39,46,52,44,44,40,58,51,47,41,49,59,50,66,58,56,54,52,62,48,63,0
,90+,1469,66,60,53,48,35,27,25,16,33,28,21,27,32,24,28,28,33,19,26,38,21,23,25,25,25,20,20,20,24,12,24,14,10,24,21,21,19,25,22,24,26,32,31,35,27,36,34,34,24,33,38,33,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
