"Weekly deaths by sex and age group, 2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,132,4,2,3,2,1,3,5,3,2,1,2,3,2,2,0,3,5,4,2,3,4,1,7,2,0,0,3,3,0,0,0,3,4,4,3,2,2,4,1,4,3,6,0,0,3,2,4,1,3,3,6,2,0
,1-4,20,1,0,1,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0
,5-9,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,10-14,21,1,1,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
,15-19,46,2,0,0,0,1,1,0,2,1,2,0,1,0,1,0,0,0,3,0,0,0,1,0,3,0,1,0,2,2,0,2,1,2,1,0,1,1,0,0,1,0,2,2,1,1,1,1,1,2,0,2,1,0
,20-24,56,2,3,0,1,0,2,2,2,0,2,1,0,0,0,1,1,1,3,1,2,0,0,2,2,1,0,1,0,1,1,0,1,2,1,0,0,2,0,1,0,1,0,2,1,1,2,1,1,1,3,3,1,0
,25-29,83,0,1,4,2,3,3,2,1,1,4,2,4,1,2,2,2,2,2,1,4,0,1,1,3,1,2,2,0,3,0,1,0,1,3,3,2,1,0,1,3,1,1,3,2,0,0,1,0,1,2,1,0,0
,30-34,139,7,2,3,5,5,3,4,4,2,1,3,0,2,1,1,3,2,0,4,5,4,2,0,1,5,7,4,2,3,1,3,7,3,1,0,2,0,3,4,2,4,3,1,4,1,2,2,3,1,3,1,3,0
,35-39,201,7,8,3,6,3,3,4,6,4,1,2,3,3,2,5,4,5,3,6,3,4,5,0,6,4,2,3,1,3,3,2,6,4,6,4,2,6,3,3,4,5,9,4,6,3,3,1,4,3,6,3,2,0
,40-44,309,12,6,7,11,5,6,10,5,4,8,7,2,8,6,8,8,6,9,5,5,6,7,3,5,6,3,6,3,4,10,7,5,7,5,5,1,4,4,5,7,8,6,8,5,1,6,6,5,5,11,5,2,0
,45-49,422,18,7,18,7,7,6,6,6,16,4,4,7,12,5,6,9,9,8,8,14,6,10,8,8,8,8,14,7,5,11,7,5,7,4,8,11,6,7,4,9,5,6,15,10,3,8,7,10,7,4,8,9,0
,50-54,664,23,25,14,9,16,14,12,14,11,15,15,7,10,12,3,15,14,12,10,15,11,12,8,16,10,10,12,8,18,9,10,14,14,18,12,13,15,10,14,10,14,15,12,17,11,12,10,11,8,12,17,15,0
,55-59,920,28,22,18,12,14,18,16,15,26,29,16,18,15,23,10,25,28,17,10,19,13,17,19,19,16,29,17,18,15,5,19,15,14,12,16,24,13,16,19,15,13,18,17,16,20,17,20,13,17,14,25,20,0
,60-64,1404,46,34,41,29,19,34,30,22,31,24,22,20,26,30,15,26,31,23,29,37,19,27,31,28,26,34,19,28,32,20,21,21,26,24,23,22,35,25,26,22,28,26,17,25,34,29,32,19,28,25,30,33,0
,65-69,2195,82,71,63,46,42,33,39,47,55,45,38,38,48,52,45,47,32,41,36,34,39,39,39,42,35,39,35,41,35,37,32,41,35,30,24,39,44,43,38,45,40,49,42,42,37,37,32,47,47,37,51,48,0
,70-74,3317,138,120,85,76,68,69,66,58,62,57,54,64,64,59,73,45,83,65,54,53,54,56,67,41,61,61,57,59,60,45,66,56,54,65,64,66,67,49,78,53,44,49,46,67,57,69,73,52,75,58,67,68,0
,75-79,4765,202,152,137,104,105,107,90,93,95,96,90,77,95,90,96,82,95,101,78,90,85,87,86,78,95,94,76,68,83,79,64,78,75,77,80,82,77,71,80,75,88,85,96,98,88,107,72,98,88,83,94,103,0
,80-84,5110,224,171,134,114,113,85,93,108,98,94,101,95,116,92,114,90,117,84,72,92,92,87,93,81,98,88,101,89,89,94,82,82,89,93,86,93,79,96,100,80,103,96,112,86,91,75,88,95,70,85,102,108,0
,85-89,5337,225,214,168,140,102,102,119,99,97,102,98,96,89,100,95,90,107,101,98,85,76,98,100,98,104,83,81,107,91,89,92,84,91,89,88,94,104,80,108,90,102,93,89,97,93,89,112,82,90,99,111,106,0
,90+,5136,244,211,167,136,119,109,101,107,87,107,79,96,85,86,76,82,94,98,84,89,80,100,90,90,96,81,88,83,81,82,79,80,87,68,82,101,76,90,87,85,91,119,86,97,106,96,98,90,92,85,111,102,0
male,0,173,4,6,4,1,4,4,4,4,4,9,4,3,4,1,1,5,6,2,6,6,4,2,2,3,2,0,3,3,2,4,6,6,4,1,4,3,1,5,4,1,5,0,2,1,1,1,4,1,5,4,5,2,0
,1-4,33,0,0,3,1,2,1,0,0,2,0,3,3,1,0,1,2,0,0,0,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0
,5-9,24,0,0,1,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,0,0,0,0,2,0,0,0,0,3,0
,10-14,28,1,0,0,1,0,1,0,3,1,0,0,1,1,1,1,1,0,1,1,0,0,2,2,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0
,15-19,115,4,1,0,4,2,2,2,2,1,5,4,2,2,2,5,0,3,2,2,2,2,5,3,3,1,1,2,1,6,3,2,3,2,0,3,4,2,1,0,3,2,3,2,2,0,2,1,0,5,1,1,2,0
,20-24,198,5,5,4,4,6,4,3,5,7,8,4,6,5,2,4,3,3,4,6,6,1,6,5,3,7,3,3,5,4,3,2,3,4,4,2,3,5,1,3,5,3,2,3,1,3,4,3,3,3,2,4,1,0
,25-29,234,4,7,10,4,4,7,4,5,3,2,3,1,5,3,6,7,5,3,3,6,5,4,4,6,4,5,3,7,5,4,2,13,2,4,8,2,10,4,6,2,4,3,1,4,3,5,3,3,4,4,6,2,0
,30-34,278,4,5,9,6,1,4,8,7,8,9,4,10,3,6,2,9,7,3,11,8,4,5,4,4,6,5,3,5,4,3,2,10,7,2,4,1,4,2,6,9,6,6,7,3,5,10,0,4,5,8,4,6,0
