"Weekly deaths by sex and age group, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,99,3,1,3,2,3,1,3,1,5,1,2,0,1,1,0,2,2,0,3,3,1,2,2,1,3,1,0,3,1,3,4,4,1,1,2,2,2,0,1,1,0,3,1,4,5,2,4,1,3,0,1,3,0
,1-4,18,0,0,0,1,2,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0
,5-9,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10-14,12,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0
,15-19,43,1,0,2,0,0,1,1,1,1,1,2,1,1,0,0,1,3,2,2,0,0,1,1,0,1,1,0,1,1,1,0,2,0,1,1,0,0,2,0,2,1,1,1,1,0,1,0,1,0,1,0,1,0
,20-24,52,1,0,3,0,1,0,0,4,1,3,0,2,0,0,0,0,2,0,1,2,1,1,1,2,0,2,0,1,0,0,0,3,0,1,0,0,2,0,2,1,1,1,1,3,2,1,2,0,1,0,2,1,0
,25-29,89,6,3,1,1,0,0,4,4,3,0,0,1,0,0,3,1,3,0,1,2,0,3,1,2,5,4,1,0,4,1,1,2,2,1,0,1,1,1,0,1,2,2,1,3,1,2,1,2,2,5,2,2,0
,30-34,104,4,2,1,2,2,2,4,2,1,0,1,2,3,0,4,5,0,1,1,2,1,0,2,2,2,2,0,3,2,2,2,1,3,1,2,6,2,3,4,2,1,2,4,3,1,2,2,1,3,2,1,1,0
,35-39,188,6,5,6,6,3,0,2,3,9,4,5,5,1,5,3,8,3,3,2,2,4,4,1,4,4,2,3,7,2,5,3,2,3,0,3,3,7,4,2,3,4,3,0,2,5,1,3,2,5,6,3,7,0
,40-44,269,9,5,3,8,7,6,10,4,3,2,7,5,6,3,2,3,6,5,5,4,7,3,6,2,5,8,8,4,5,2,6,7,8,3,3,5,2,4,4,8,8,4,3,6,7,1,7,4,5,5,8,8,0
,45-49,470,10,12,14,17,9,8,5,6,9,8,11,15,5,12,9,3,3,11,10,6,9,7,10,13,5,8,9,8,3,5,8,11,9,10,7,15,11,10,13,10,7,10,5,7,12,7,6,9,15,11,7,10,0
,50-54,691,19,25,17,17,13,17,17,15,17,16,15,21,10,14,14,13,10,18,14,16,10,12,14,4,12,15,14,12,11,10,11,12,9,9,10,9,8,13,11,7,10,8,13,15,15,17,8,14,9,25,15,11,0
,55-59,860,28,26,27,12,16,17,13,22,19,9,16,11,21,21,14,8,14,21,16,13,20,15,20,13,17,10,13,10,18,19,14,16,23,17,24,12,16,13,18,12,18,14,10,23,11,8,17,19,19,17,18,22,0
,60-64,1359,29,32,34,34,25,32,37,28,27,21,18,28,24,23,18,18,30,21,31,32,18,29,29,41,28,26,27,27,25,23,24,26,26,19,25,24,23,25,21,20,34,19,28,32,17,24,30,25,20,31,32,19,0
,65-69,1767,32,50,45,40,26,46,33,37,30,40,27,48,40,30,32,34,30,46,33,31,35,26,35,24,25,40,34,43,23,31,23,28,33,36,30,36,41,31,34,35,29,30,41,25,29,29,34,27,43,42,36,29,0
,70-74,2501,62,57,56,54,51,43,53,47,37,44,62,47,54,45,68,41,33,53,51,57,54,42,45,42,41,38,53,43,44,46,61,43,38,44,47,35,49,43,59,45,43,34,43,58,39,42,58,55,57,58,38,49,0
,75-79,3623,100,101,80,83,72,75,78,74,53,68,55,74,89,68,67,66,53,73,81,54,82,54,76,60,81,59,66,73,65,53,59,58,67,53,64,67,60,57,68,73,69,75,68,71,63,77,73,70,80,73,81,64,0
,80-84,4734,128,120,109,94,92,100,93,110,96,100,107,93,96,109,95,83,88,93,98,107,89,93,94,86,84,91,81,79,67,70,85,74,72,72,67,102,95,79,88,81,95,72,89,81,88,87,94,88,90,83,112,95,0
,85-89,5248,126,118,109,105,88,90,122,120,106,115,106,101,96,107,83,92,96,103,112,97,82,96,102,90,86,81,94,93,83,73,97,87,96,95,83,101,100,100,96,112,113,111,110,108,97,100,125,99,117,110,122,97,0
,90+,5610,141,141,131,107,122,105,122,101,105,115,99,111,120,105,101,85,99,116,109,95,121,101,113,102,91,96,98,111,88,84,98,99,91,101,109,95,91,104,99,114,122,112,120,117,104,95,96,104,132,128,136,108,0
male,0,139,1,6,1,3,2,6,6,3,2,1,2,1,3,0,1,2,0,4,3,2,1,8,4,6,2,4,4,2,3,0,0,2,1,1,5,2,4,1,1,4,5,4,3,1,0,1,4,4,2,3,6,2,0
,1-4,19,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,2,1,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0
,5-9,17,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0
,10-14,14,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
,15-19,78,2,2,4,3,0,2,2,0,2,0,0,2,4,1,1,3,1,0,0,2,0,2,4,2,1,1,0,7,1,1,2,4,1,2,3,2,1,1,0,1,1,0,1,0,0,0,1,0,0,2,5,1,0
