"Weekly deaths by sex and age group, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,153,4,3,8,6,2,6,1,2,4,6,2,3,2,1,3,2,0,3,2,2,4,3,8,5,2,2,2,4,0,1,2,2,2,3,4,3,2,4,2,2,2,3,2,3,6,3,1,1,3,3,5,2,0
,25-29,188,2,5,8,5,8,5,8,2,1,7,2,3,5,5,3,2,2,2,3,2,4,3,5,2,2,2,3,7,4,4,3,2,3,3,4,3,4,3,6,3,6,5,2,1,5,2,4,1,5,1,4,2,0
,30-34,251,4,7,6,7,1,3,4,6,6,3,4,7,5,4,6,3,1,3,5,5,6,5,9,6,7,2,5,6,7,10,9,8,4,7,3,3,2,1,5,5,3,3,3,7,4,3,5,2,7,6,6,2,0
,35-39,334,9,9,6,9,3,4,8,12,3,5,7,4,7,9,5,5,4,9,9,11,8,7,5,9,7,5,6,8,9,6,6,5,4,7,7,11,7,5,7,3,7,5,4,5,6,4,7,5,4,7,7,3,0
,40-44,513,10,15,16,14,8,8,8,8,14,6,11,12,11,13,7,10,11,12,11,13,6,12,13,4,10,13,15,10,4,7,10,8,7,9,13,11,11,12,9,9,6,6,8,7,10,7,11,2,11,14,10,10,0
,45-49,635,11,18,20,12,16,10,12,6,19,15,13,17,8,9,14,12,15,15,13,9,10,8,19,7,11,16,9,18,12,11,12,12,9,17,17,13,12,8,4,7,13,6,12,11,8,8,12,16,13,19,12,9,0
,50-54,850,24,25,18,22,15,24,8,17,14,13,12,20,16,20,16,10,14,22,20,20,15,21,18,12,15,19,22,15,12,8,23,12,18,14,13,12,17,7,20,17,25,13,9,27,15,13,16,9,24,17,11,11,0
,55-59,1256,25,39,29,29,24,25,32,35,19,25,16,24,28,25,20,22,20,23,23,21,17,28,20,23,22,18,16,26,16,26,32,20,29,27,23,28,23,23,25,17,25,28,35,13,22,27,29,15,26,26,21,26,0
,60-64,1955,54,50,46,47,44,31,29,49,45,29,46,39,41,38,41,27,33,45,38,36,40,29,33,36,35,45,39,41,37,38,35,39,44,28,34,36,39,33,42,29,41,33,39,32,38,30,31,26,39,36,28,42,0
,65-69,2460,61,71,50,53,48,46,46,46,48,50,53,64,49,34,55,44,55,40,57,35,51,46,39,47,40,43,54,42,51,45,47,40,49,45,56,49,34,44,41,39,32,55,42,43,45,40,59,38,47,53,53,46,0
,70-74,3291,105,78,78,67,87,53,58,68,66,60,65,58,66,51,66,52,49,78,66,72,50,76,69,57,65,48,61,58,60,63,51,61,64,45,55,62,57,62,59,65,56,62,60,66,67,71,65,59,71,66,53,64,0
,75-79,3817,99,97,82,68,79,74,69,79,67,66,80,95,94,67,64,60,58,79,79,55,64,68,66,87,66,64,93,64,63,70,75,71,63,61,73,73,76,75,64,72,77,95,76,67,65,67,59,80,68,79,86,79,0
,80-84,4299,98,116,97,100,91,72,89,87,80,85,73,83,88,87,80,71,82,85,92,67,75,70,85,64,96,89,86,79,81,69,59,79,85,81,68,83,72,80,78,74,73,86,91,81,89,85,66,78,82,100,117,75,0
,85-89,3513,88,80,78,67,83,60,69,79,63,70,71,76,60,81,72,55,68,82,58,55,70,67,62,61,72,71,77,62,68,54,45,54,64,52,75,75,51,59,65,67,64,75,66,52,47,71,67,61,82,91,97,54,0
,90+,2130,42,51,55,47,55,37,41,39,45,42,42,39,45,43,39,30,38,43,40,29,34,47,27,41,38,35,35,44,32,41,37,27,30,40,44,43,43,36,41,34,39,52,44,43,38,43,37,38,50,60,51,44,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
