"Weekly deaths by sex and age group, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,111,1,2,3,3,0,1,5,3,3,1,2,3,0,1,4,1,0,2,1,1,0,1,1,3,2,1,4,6,2,2,2,6,0,4,4,0,5,3,1,4,0,1,1,2,4,0,1,4,2,2,4,2,0
,1-4,17,0,1,1,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0
,5-9,11,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,10-14,17,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
,15-19,54,0,1,3,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,2,2,3,1,2,0,1,3,1,0,0,2,0,1,2,2,2,1,2,0,2,1,3,0,1,1,1,0,1,0,1,2,0,2,0
,20-24,68,1,1,0,0,0,1,2,0,0,2,1,0,0,3,1,2,1,0,0,1,6,1,2,2,2,0,1,0,3,3,2,2,1,1,0,2,2,0,2,0,1,3,3,2,2,1,1,0,1,2,2,2,0
,25-29,67,0,0,0,0,3,1,2,0,1,0,1,3,3,1,2,0,3,1,3,4,0,2,2,1,0,0,1,2,1,2,0,1,0,1,0,0,1,3,0,0,3,2,0,0,1,0,5,1,3,2,2,3,0
,30-34,102,5,1,3,2,2,2,2,2,2,0,0,1,4,1,1,2,2,3,0,1,2,2,0,5,2,2,5,2,1,1,3,2,0,5,2,4,1,3,1,2,4,4,1,1,0,0,4,1,0,2,2,2,0
,35-39,191,5,10,3,2,2,5,4,6,2,4,2,0,7,4,2,6,4,6,3,1,3,8,5,2,2,1,2,3,1,1,3,5,4,7,5,4,2,6,1,1,1,5,5,5,5,6,5,1,2,1,5,6,0
,40-44,293,7,8,7,5,6,8,10,2,3,4,5,2,6,10,6,5,4,4,5,8,9,6,8,4,4,2,4,3,4,8,7,5,4,6,8,3,8,3,4,12,4,6,4,7,7,2,4,7,4,10,7,4,0
,45-49,448,10,11,11,13,11,16,13,4,4,11,9,8,4,13,11,14,7,8,6,11,7,12,8,6,8,8,8,6,7,7,13,7,9,9,12,6,13,3,10,5,7,10,5,7,7,4,4,7,15,7,11,5,0
,50-54,621,11,20,18,16,11,14,19,12,19,10,17,11,10,16,17,13,6,16,11,5,9,12,12,11,12,9,10,10,10,11,6,9,19,9,10,10,13,18,13,6,8,6,11,16,6,7,20,12,12,8,13,11,0
,55-59,916,14,24,28,26,11,21,20,16,12,25,17,8,20,21,18,24,29,14,20,18,13,24,12,21,15,16,27,13,18,18,12,17,11,16,20,11,18,24,13,30,9,13,13,13,15,21,18,18,25,13,16,7,0
,60-64,1370,33,35,23,42,26,25,26,21,26,18,21,31,34,22,41,32,34,22,25,27,24,18,32,27,20,25,22,25,23,22,36,20,29,27,28,18,26,30,21,30,25,18,19,28,38,24,28,25,21,25,28,24,0
,65-69,1828,46,44,49,41,34,46,41,29,35,41,41,27,38,33,36,39,39,32,35,41,35,28,36,26,33,41,32,26,37,47,21,32,34,32,27,34,32,29,39,39,24,34,34,29,37,32,27,29,37,41,48,29,0
,70-74,2661,51,65,72,61,58,67,49,48,62,48,49,42,62,54,55,53,44,56,45,41,59,51,45,46,46,56,44,44,42,54,42,40,57,55,52,37,40,55,43,49,57,51,44,41,44,44,47,55,65,58,73,43,0
,75-79,4037,85,81,85,83,92,79,95,96,79,89,108,76,89,77,83,71,86,86,85,61,73,77,81,83,50,69,76,80,71,78,68,68,73,60,75,65,71,81,70,74,73,77,65,68,83,86,67,72,93,67,94,63,0
,80-84,5083,112,120,120,107,129,109,102,92,98,116,111,96,116,103,116,117,98,101,96,78,79,121,93,89,74,84,88,90,89,101,86,90,88,85,98,92,74,72,84,106,87,83,79,106,86,109,95,112,99,106,113,88,0
