"Weekly deaths by sex and age group, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85-89,5461,119,137,137,124,104,121,111,94,99,108,114,104,118,108,97,112,117,112,110,98,94,105,116,99,88,88,103,80,103,98,98,77,101,83,87,92,84,110,98,114,96,104,101,103,110,114,108,106,105,124,119,109,0
,90+,5329,121,126,138,133,129,128,100,105,106,110,127,95,114,108,132,125,129,103,83,88,82,92,80,68,94,93,83,89,87,91,79,85,100,92,82,82,106,84,88,72,105,103,105,108,97,103,111,98,93,114,167,96,0
male,0,136,1,2,4,0,1,2,3,3,1,6,3,3,4,1,0,6,3,5,2,3,4,2,2,5,1,4,7,1,2,2,6,2,1,3,2,1,0,4,4,3,1,2,3,1,2,3,1,2,1,2,4,5,0
,1-4,22,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,1,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
,5-9,19,0,0,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,2,0
,10-14,16,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0
,15-19,106,2,4,1,3,4,1,2,3,2,3,3,4,5,4,2,2,1,3,4,0,1,2,3,1,3,4,2,1,2,2,0,2,3,0,3,0,0,1,1,2,2,1,1,0,1,2,0,5,2,4,0,2,0
,20-24,175,4,4,2,1,2,3,7,6,1,2,2,0,2,3,3,2,2,6,4,2,6,6,4,4,3,5,0,5,2,5,6,3,7,5,3,4,5,1,1,2,1,3,6,2,4,8,1,4,4,4,3,0,0
,25-29,222,4,4,6,4,4,4,5,7,3,3,6,3,5,8,4,5,4,3,2,4,5,5,2,5,3,4,3,4,5,5,7,5,3,7,6,2,3,5,4,5,2,2,6,5,5,4,1,4,5,2,5,5,0
,30-34,277,10,8,5,6,4,3,3,5,3,5,8,3,5,8,4,6,9,3,2,5,4,6,5,4,4,5,3,5,5,6,4,12,4,4,8,6,5,5,4,5,6,12,5,6,6,4,4,7,6,3,6,3,0
,35-39,372,6,6,8,9,3,6,9,8,6,7,4,10,4,7,1,6,5,7,9,12,13,1,9,8,12,7,4,10,7,11,10,3,5,5,12,4,2,12,3,6,7,13,9,8,4,9,8,8,9,8,8,4,0
,40-44,496,16,9,14,6,14,11,7,13,8,12,4,10,11,14,8,8,8,8,6,12,7,12,13,10,10,13,9,10,6,7,11,12,8,11,12,8,7,9,11,4,8,6,8,8,4,8,10,11,11,11,13,9,0
,45-49,736,13,11,14,9,10,13,19,8,16,16,14,8,18,15,19,12,12,17,5,21,16,16,19,22,15,11,18,18,11,11,13,17,14,15,15,20,8,7,13,20,16,19,12,14,18,13,15,12,16,8,12,12,0
,50-54,954,16,28,23,19,17,17,16,24,20,15,16,14,15,34,22,13,21,19,15,25,15,19,23,21,22,14,21,12,16,18,18,17,20,22,17,11,15,22,14,17,19,13,16,17,23,14,19,15,16,20,24,15,0
,55-59,1403,26,46,37,28,34,25,33,35,27,26,27,34,25,30,23,35,25,29,15,37,21,22,34,31,30,30,25,28,21,22,31,25,26,18,31,26,26,25,21,32,23,21,21,24,20,27,17,23,27,24,37,17,0
,60-64,2050,49,57,41,36,34,38,39,35,31,39,57,48,32,38,37,40,42,44,35,38,31,43,33,41,42,37,39,48,36,52,37,38,37,37,34,37,40,32,33,51,35,42,32,30,44,50,43,38,38,37,40,33,0
,65-69,2627,53,63,63,51,42,60,33,51,36,53,48,57,61,44,56,49,61,46,48,41,45,52,45,44,60,49,37,46,62,41,42,44,47,51,41,56,48,49,55,45,66,59,63,45,46,48,49,61,45,67,61,42,0
,70-74,3342,63,98,67,69,58,75,69,68,82,66,70,59,72,65,64,61,59,87,59,64,68,74,46,56,81,49,56,59,57,71,64,61,61,68,46,51,72,51,55,53,64,62,47,73,68,61,59,62,66,81,75,50,0
,75-79,4022,97,95,102,74,86,82,88,85,88,87,88,80,97,75,64,83,75,85,79,69,59,70,67,69,78,64,75,72,59,70,65,76,69,78,68,56,68,67,79,75,85,80,81,75,74,78,79,72,96,76,102,61,0
,80-84,4154,87,102,87,98,85,86,85,90,91,91,82,75,86,78,114,79,96,74,77,60,70,81,62,70,66,72,66,73,68,66,64,79,63,67,61,66,76,76,79,85,110,77,78,80,78,79,76,95,91,91,94,72,0
,85-89,3180,64,72,75,61,66,76,67,71,74,51,61,64,64,79,68,57,69,80,56,53,53,60,51,58,56,66,53,48,62,51,48,35,50,60,53,63,58,47,56,58,63,53,72,64,65,62,58,66,63,68,64,68,0
,90+,1839,32,36,36,44,40,47,41,35,44,47,41,36,48,49,32,33,42,39,33,31,27,40,37,33,31,32,31,35,28,30,25,31,28,26,39,26,28,27,24,33,34,29,37,36,37,46,29,39,37,38,45,35,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
