"Weekly deaths by sex and age group, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40-44,273,3,8,4,6,3,3,8,6,7,3,5,4,5,6,7,7,1,5,3,4,9,2,3,6,7,3,4,7,3,5,4,4,10,7,9,5,6,3,7,1,6,8,5,4,7,7,4,5,9,7,4,4,0
,45-49,434,9,8,9,11,7,8,12,13,4,5,9,12,8,11,6,5,7,6,10,4,7,5,9,8,5,3,7,10,12,10,8,10,5,9,8,10,10,10,4,13,14,7,8,6,10,9,10,9,6,13,9,6,0
,50-54,636,18,12,9,7,13,12,12,16,14,11,21,11,10,14,17,13,12,14,10,9,11,9,10,13,8,11,13,13,13,10,12,11,21,15,16,15,10,6,7,6,19,12,8,7,15,14,12,10,11,13,16,14,0
,55-59,905,24,14,21,17,20,21,15,16,20,18,21,16,18,19,19,19,11,13,19,16,11,14,12,16,22,22,24,17,17,20,15,20,14,18,14,17,20,16,16,17,21,16,17,22,17,19,17,19,17,15,13,13,0
,60-64,1210,33,30,31,29,17,24,19,27,21,24,32,22,22,25,20,14,21,23,19,27,25,25,28,17,26,29,28,17,28,26,15,13,18,20,16,30,23,24,22,21,18,19,39,20,20,28,27,25,26,17,21,19,0
,65-69,1843,50,43,40,30,35,42,30,43,35,25,45,31,38,34,38,43,30,30,34,38,36,35,45,43,32,39,29,24,40,30,33,49,31,35,33,26,30,31,27,43,33,35,42,45,31,24,32,32,29,43,40,32,0
,70-74,2358,44,49,54,60,46,50,40,49,45,56,46,33,53,45,45,52,46,52,41,48,49,36,46,49,36,40,35,42,44,47,53,51,37,32,40,46,39,36,50,47,38,40,52,34,45,53,52,35,43,47,64,46,0
,75-79,3576,60,100,83,81,77,75,66,72,67,63,72,74,74,68,72,53,65,69,72,62,68,69,66,54,60,66,62,63,52,67,63,66,62,75,85,75,75,68,67,58,56,76,71,69,83,79,73,49,65,85,67,57,0
,80-84,4778,87,130,110,105,90,100,118,90,112,96,98,81,98,86,83,81,84,92,100,102,90,74,83,83,94,72,68,91,78,81,93,104,83,88,83,85,84,72,92,73,106,93,113,88,111,87,84,90,98,83,128,83,0
,85-89,5237,106,115,117,112,118,109,125,104,112,101,93,107,110,88,115,86,107,98,78,95,116,81,96,109,85,94,101,112,80,75,97,89,84,80,79,111,82,86,107,105,96,97,116,83,97,124,87,103,107,117,144,101,0
,90+,5904,121,131,144,126,111,117,107,129,101,120,136,99,114,105,114,107,117,127,110,100,91,84,97,106,114,95,110,109,102,94,121,94,114,107,104,121,114,118,95,107,132,116,116,116,117,119,109,136,131,124,152,103,0
male,0,111,3,5,2,2,1,1,4,1,2,4,4,3,2,0,1,1,5,3,0,1,1,1,3,0,4,2,2,1,3,4,1,3,2,4,0,4,2,3,0,1,1,0,2,3,7,1,0,2,2,3,3,1,0
,1-4,18,0,2,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
,5-9,16,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,2,0,1,0
,10-14,20,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
,15-19,52,2,2,0,0,1,2,0,2,0,1,1,1,2,0,2,1,1,2,1,0,1,0,0,2,2,3,2,0,1,1,1,1,1,1,1,1,0,1,0,1,2,1,0,1,0,1,1,0,1,1,2,1,0
,20-24,110,2,4,2,2,2,4,2,1,1,2,3,2,2,1,1,5,1,4,2,2,3,1,1,2,0,4,4,4,1,0,4,2,4,1,1,3,0,2,1,2,1,3,1,3,1,3,5,0,1,4,1,2,0
,25-29,144,1,6,2,1,3,1,1,0,3,1,5,3,4,2,0,0,5,2,0,3,3,4,4,6,2,1,3,3,3,3,2,1,2,5,4,2,5,1,4,5,5,2,1,2,2,7,1,5,6,4,2,1,0
,30-34,182,6,4,4,5,5,3,3,3,5,6,4,5,4,2,4,3,1,4,3,2,2,5,2,4,2,1,3,3,3,4,5,4,2,4,6,5,3,3,1,1,6,6,2,3,2,5,0,4,6,3,3,3,0
,35-39,283,3,6,12,5,4,7,11,2,6,3,9,7,4,2,9,5,6,9,4,3,5,6,7,5,4,9,1,5,9,4,4,4,7,7,3,5,7,6,5,1,3,8,4,4,4,4,7,2,12,6,4,4,0
,40-44,467,4,11,7,9,4,7,11,9,9,9,13,8,7,8,7,6,9,10,7,11,10,5,9,4,10,9,7,11,14,12,16,8,8,14,7,10,10,8,14,12,4,15,9,5,13,13,9,12,6,3,5,9,0
,45-49,659,13,16,11,17,7,4,12,25,18,12,15,14,8,15,9,13,15,10,10,10,14,9,12,17,16,15,17,7,10,15,7,12,17,19,8,6,10,16,6,7,15,13,18,12,8,14,11,11,14,19,21,9,0
,50-54,885,13,13,25,19,21,20,13,16,21,17,18,18,17,13,20,16,11,25,12,16,19,16,21,15,15,11,23,9,13,12,7,27,19,12,18,11,12,19,15,19,26,15,14,23,16,21,16,23,22,21,16,15,0
,55-59,1245,26,41,23,30,17,25,26,24,19,14,21,28,20,27,22,23,26,26,16,26,26,25,23,28,24,27,15,16,22,22,28,30,34,22,23,24,20,16,15,30,29,25,18,31,30,21,27,28,22,22,24,18,0
,60-64,1733,31,42,30,28,34,38,24,31,33,42,29,32,29,33,42,34,25,39,27,38,26,37,41,37,26,35,31,32,37,35,35,31,40,41,34,41,31,23,31,28,33,33,32,37,35,33,38,29,27,41,43,19,0
,65-69,2623,65,63,50,63,60,61,42,58,53,40,55,53,39,52,63,51,44,40,48,46,51,41,46,41,47,37,59,42,49,35,44,58,53,47,52,48,56,49,50,56,50,42,62,47,45,44,44,45,63,60,72,42,0
,70-74,3150,69,63,67,59,86,58,64,61,62,54,60,77,51,69,59,57,54,62,78,65,60,75,54,76,57,57,48,64,59,40,57,59,60,54,59,58,63,54,56,57,67,58,58,64,58,67,67,50,52,54,68,45,0
,75-79,3905,85,106,72,73,75,70,72,66,68,94,75,73,74,80,66,75,59,86,71,74,74,91,73,77,69,60,68,77,72,90,66,67,69,67,91,71,71,61,70,74,80,69,77,75,71,92,61,74,79,102,96,57,0
,80-84,4275,87,111,102,101,76,80,87,95,79,90,76,60,79,83,90,72,89,76,87,79,73,68,74,80,76,67,73,72,69,94,72,74,81,74,85,73,79,74,80,91,81,76,84,84,89,86,98,80,84,121,102,62,0
,85-89,3689,68,85,91,74,57,98,74,59,80,76,72,65,80,62,79,66,65,77,80,52,66,53,59,67,54,57,81,66,67,74,63,66,76,68,75,73,71,66,68,63,65,59,78,73,88,86,79,71,75,76,75,71,0
,90+,2544,51,82,55,50,54,54,60,53,53,46,52,49,54,54,48,43,43,53,43,48,53,56,32,30,58,48,36,46,42,37,47,47,44,46,47,42,35,50,35,50,46,53,54,50,58,53,46,49,50,54,62,43,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
