"Weekly deaths by sex and age group, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,96,2,1,2,2,3,2,1,0,1,2,0,1,1,1,1,3,4,2,1,2,1,4,2,2,3,2,3,0,0,3,3,3,1,3,1,1,3,2,2,1,0,5,0,2,4,3,1,2,2,3,1,1,0
,1-4,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,5-9,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
,10-14,12,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,15-19,29,1,0,0,1,0,1,1,0,0,0,1,0,1,2,1,0,2,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,1,0,1,0,1,1,2,1,0,0,2,0,0,1,0,0,0,0
,20-24,57,0,0,2,3,0,2,3,0,0,0,1,2,1,3,0,2,2,1,0,2,1,2,0,0,1,1,0,1,0,0,1,1,0,0,2,3,0,1,1,1,7,3,1,1,0,0,0,1,1,0,2,1,0
,25-29,62,1,3,0,3,3,2,2,4,1,0,2,1,1,3,1,1,0,3,2,0,3,1,4,2,2,0,1,1,0,2,0,0,1,0,2,0,2,0,0,0,0,0,1,1,0,1,4,1,0,0,0,0,0
,30-34,103,2,4,2,2,2,4,2,3,1,4,4,2,4,1,4,2,3,0,0,0,3,1,1,2,1,1,2,3,0,2,2,2,1,1,1,0,4,3,0,1,2,1,6,2,3,1,3,2,1,3,1,1,0
,35-39,128,0,2,4,2,1,1,2,2,3,3,1,1,2,3,5,1,4,8,0,7,0,1,2,3,3,0,4,3,4,1,1,3,1,3,4,2,4,4,2,1,3,3,1,2,0,3,5,1,6,3,2,1,0
